,"Monday, Express (Credit)","Monday, Express (Paying)","Monday, General Purpose","Tuesday, Express (Credit)","Tuesday, Express (Paying)","Tuesday, General Purpose","Wednesday, Express (Credit)","Wednesday, Express (Paying)","Wednesday, General Purpose","Thursday, Express (Credit)","Thursday, Express (Paying)","Thursday, General Purpose","Friday, Express (Credit)","Friday, Express (Paying)","Friday, General Purpose"
Edge flows,0.0,1833.8974972309247,6166.102502706484,0.0,1832.67644682243,6167.323553176668,0.0,1834.1099220098617,6165.89007799217,0.0,1835.8854091707212,6164.114590838746,0.0,1834.2130260502242,6165.786973951972
Eps flows,0.0,541.1224972311105,2287.777502688395,0.0,539.9014468226122,2288.9985531735792,0.0,541.3349220100188,2287.5650780012234,0.0,543.1104091709149,2285.7895908755945,0.0,541.4380260504206,2287.461973950316
Eligible User Flows,0.0,1359.999999999527,4.730152857246827e-10,0.0,1359.9999999995302,4.698594338622614e-10,0.0,1359.9999999995266,4.734599263486933e-10,0.0,1359.9999999995212,4.78804187383293e-10,0.0,1359.99999999952,4.799495670648829e-10
"Ineligible User Flow, 1",0.0,8.262024397964751e-11,0.9999999999173798,0.0,9.778478027300253e-11,0.9999999999022152,0.0,1.0422940288634663e-10,0.9999999998957706,0.0,9.004541556834056e-11,0.9999999999099546,0.0,1.0283895957030609e-10,0.999999999897161
"Ineligible User Flow, 2",0.0,9.727307848095279e-11,0.9999999999027269,0.0,9.497203024011469e-11,0.999999999905028,0.0,9.751510710032107e-11,0.9999999999024849,0.0,1.0002165762301729e-10,0.9999999998999783,0.0,8.136291640425952e-11,0.9999999999186371
"Ineligible User Flow, 3",0.0,9.413325674501039e-11,0.9999999999058667,0.0,8.31350543961662e-11,0.999999999916865,0.0,8.149481089958499e-11,0.9999999999185052,0.0,8.901590575760565e-11,0.9999999999109841,0.0,1.0073852863001775e-10,0.9999999998992615
"Ineligible User Flow, 4",0.0,8.670042461744742e-11,0.9999999999132996,0.0,1.080084910398682e-10,0.9999999998919915,0.0,1.0731415756026763e-10,0.9999999998926858,0.0,1.0821266105409677e-10,0.9999999998917873,0.0,9.560674474329289e-11,0.9999999999043933
"Ineligible User Flow, 5",0.0,8.659406525168833e-11,0.9999999999134059,0.0,8.262801554081989e-11,0.999999999917372,0.0,1.0056921961876242e-10,0.9999999998994308,0.0,8.082445823731632e-11,0.9999999999191755,0.0,1.0163170305332869e-10,0.9999999998983683
"Ineligible User Flow, 6",0.0,9.809664192061973e-11,0.9999999999019034,0.0,8.460021572176402e-11,0.9999999999153998,0.0,9.240719300862565e-11,0.9999999999075928,0.0,8.688227914888103e-11,0.9999999999131177,0.0,9.613232432315044e-11,0.9999999999038677
"Ineligible User Flow, 7",0.0,1.0638834258003271e-10,0.9999999998936117,0.0,1.0511347348085565e-10,0.9999999998948865,0.0,9.935263722837817e-11,0.9999999999006474,0.0,9.40881816902106e-11,0.9999999999059118,0.0,8.731793066374394e-11,0.9999999999126821
"Ineligible User Flow, 8",0.0,9.75588498874913e-11,0.9999999999024412,0.0,9.51965173356939e-11,0.9999999999048035,0.0,8.960254760381758e-11,0.9999999999103975,0.0,1.0503908853820576e-10,0.9999999998949609,0.0,8.215661484456405e-11,0.9999999999178434
"Ineligible User Flow, 9",0.0,8.259803951915501e-11,0.999999999917402,0.0,8.973977116966125e-11,0.9999999999102602,0.0,1.0461886912338514e-10,0.9999999998953811,0.0,9.58072510215402e-11,0.9999999999041927,0.0,9.120448840604922e-11,0.9999999999087955
"Ineligible User Flow, 10",0.0,8.374767546115436e-11,0.9999999999162523,0.0,9.272016487926749e-11,0.9999999999072798,0.0,9.121814414925211e-11,0.9999999999087819,0.0,9.621203833631853e-11,0.999999999903788,0.0,1.0664313876418419e-10,0.9999999998933569
