,"Monday, Express (Credit)","Monday, Express (Paying)","Monday, General Purpose","Tuesday, Express (Credit)","Tuesday, Express (Paying)","Tuesday, General Purpose","Wednesday, Express (Credit)","Wednesday, Express (Paying)","Wednesday, General Purpose","Thursday, Express (Credit)","Thursday, Express (Paying)","Thursday, General Purpose","Friday, Express (Credit)","Friday, Express (Paying)","Friday, General Purpose"
Edge flows,0.0,1634.8492127261998,6365.150787273802,0.0,1633.682229567581,6366.317770432421,0.0,1631.990194324224,6368.0098056758,0.0,1629.0000000106502,6370.99999998935,0.0,1631.1900657292754,6368.809934270739
Eps flows,0.0,342.074212726219,2486.8257872738104,0.0,340.9072295676035,2487.992770432429,0.0,339.2151943242844,2489.684805675798,0.0,336.2250000106729,2492.6749999893573,0.0,338.4150657293133,2490.484934270735
Eligible User Flows,0.0,1359.9999999999848,1.49189041459395e-11,0.0,1359.9999999999852,1.4871408829172833e-11,0.0,1359.9999999999648,1.4803270096781247e-11,0.0,1359.9999999999852,1.4683744436215852e-11,0.0,1359.9999999999893,1.4771084800090005e-11
"Ineligible User Flow, 1",0.0,1.5381029783156919e-12,0.9999999999984619,0.0,1.798450277590291e-12,0.9999999999982015,0.0,1.9122481376143696e-12,0.9999999999980878,0.0,1.673772231924886e-12,0.9999999999983262,0.0,1.890154699424329e-12,0.9999999999981098
"Ineligible User Flow, 2",0.0,1.7914558725351526e-12,0.9999999999982085,0.0,1.7503776206240218e-12,0.9999999999982496,0.0,1.797784143775516e-12,0.9999999999982022,0.0,1.846411912254098e-12,0.9999999999981536,0.0,1.5185630530822891e-12,0.9999999999984814
"Ineligible User Flow, 3",0.0,1.7376100558408325e-12,0.9999999999982624,0.0,1.5457635171856055e-12,0.9999999999984542,0.0,1.5198953207118393e-12,0.9999999999984801,0.0,1.6557866189259585e-12,0.9999999999983442,0.0,1.8542944957289365e-12,0.9999999999981457
"Ineligible User Flow, 4",0.0,1.6091572518917019e-12,0.9999999999983908,0.0,1.971534047129353e-12,0.9999999999980285,0.0,1.9645396420742145e-12,0.9999999999980355,0.0,1.98641103565933e-12,0.9999999999980136,0.0,1.7662538098761615e-12,0.9999999999982337
"Ineligible User Flow, 5",0.0,1.6073808950523016e-12,0.9999999999983926,0.0,1.5368817329886042e-12,0.9999999999984631,0.0,1.8499646259328983e-12,0.99999999999815,0.0,1.5120127372370007e-12,0.999999999998488,0.0,1.869504551166301e-12,0.9999999999981305
"Ineligible User Flow, 6",0.0,1.805555704947892e-12,0.9999999999981944,0.0,1.571298646751984e-12,0.9999999999984287,0.0,1.7098544802252036e-12,0.9999999999982901,0.0,1.6184831252985532e-12,0.9999999999983815,0.0,1.7752466163756253e-12,0.9999999999982248
"Ineligible User Flow, 7",0.0,1.9464430067728244e-12,0.9999999999980536,0.0,1.9227952563483086e-12,0.9999999999980772,0.0,1.829203455372408e-12,0.9999999999981708,0.0,1.7440493493836584e-12,0.999999999998256,0.0,1.6227019727921288e-12,0.9999999999983773
"Ineligible User Flow, 8",0.0,1.7963408538435033e-12,0.9999999999982037,0.0,1.7541523789077473e-12,0.9999999999982458,0.0,1.6613377340490842e-12,0.9999999999983387,0.0,1.932343174360085e-12,0.9999999999980677,0.0,1.5324408408901036e-12,0.9999999999984676
"Ineligible User Flow, 9",0.0,1.5376588891058418e-12,0.9999999999984623,0.0,1.6603385333269216e-12,0.9999999999983397,0.0,1.9189094757621206e-12,0.9999999999980811,0.0,1.7738033264436126e-12,0.9999999999982262,0.0,1.6902035326893383e-12,0.9999999999983098
"Ineligible User Flow, 10",0.0,1.5577539258515571e-12,0.9999999999984422,0.0,1.7117418593670664e-12,0.9999999999982883,0.0,1.6893153542696382e-12,0.9999999999983107,0.0,1.780797731498751e-12,0.9999999999982192,0.0,1.954769679457513e-12,0.9999999999980452
"Ineligible User Flow, 11",0.0,1.726507825594581e-12,0.9999999999982735,0.0,1.9022561303927432e-12,0.9999999999980977,0.0,1.5382140006181544e-12,0.9999999999984618,0.0,1.741828903334408e-12,0.9999999999982582,0.0,1.819988604268019e-12,0.99999999999818
"Ineligible User Flow, 12",0.0,1.86106685617915e-12,0.9999999999981389,0.0,1.9757528946229286e-12,0.9999999999980242,0.0,1.8524071165870737e-12,0.9999999999981476,0.0,1.7548185127225224e-12,0.9999999999982452,0.0,1.7823520437332263e-12,0.9999999999982176
"Ineligible User Flow, 13",0.0,1.8767210008263646e-12,0.9999999999981233,0.0,1.5143442055887135e-12,0.9999999999984857,0.0,1.7651435868515364e-12,0.9999999999982349,0.0,1.77369230414115e-12,0.9999999999982263,0.0,1.6014967130217883e-12,0.9999999999983985
"Ineligible User Flow, 14",0.0,1.52522439123004e-12,0.9999999999984748,0.0,1.7676970998081742e-12,0.9999999999982323,0.0,1.832867191353671e-12,0.9999999999981671,0.0,1.8114398869784054e-12,0.9999999999981886,0.0,1.858291298617587e-12,0.9999999999981417
"Ineligible User Flow, 15",0.0,1.7398305018900828e-12,0.9999999999982602,0.0,1.7584822487037854e-12,0.9999999999982415,0.0,1.591504705800162e-12,0.9999999999984085,0.0,1.8409718194334346e-12,0.999999999998159,0.0,1.6464607455191071e-12,0.9999999999983535
"Ineligible User Flow, 16",0.0,1.7787993300544258e-12,0.9999999999982212,0.0,1.5303314171433158e-12,0.9999999999984697,0.0,1.787903158856352e-12,0.9999999999982121,0.0,1.7522649997658846e-12,0.9999999999982477,0.0,1.6473489239388073e-12,0.9999999999983527
"Ineligible User Flow, 17",0.0,1.617594946878853e-12,0.9999999999983824,0.0,1.9944046414366312e-12,0.9999999999980056,0.0,1.7101875471325911e-12,0.9999999999982898,0.0,1.7458257062230587e-12,0.9999999999982542,0.0,1.527777904186678e-12,0.9999999999984722
"Ineligible User Flow, 18",0.0,1.9096946246577318e-12,0.9999999999980903,0.0,1.7991164114050662e-12,0.9999999999982009,0.0,1.525002346625115e-12,0.999999999998475,0.0,1.823652340249282e-12,0.9999999999981763,0.0,1.79134485023269e-12,0.9999999999982087
