,"Monday, Express (Credit)","Monday, Express (Paying)","Monday, General Purpose","Tuesday, Express (Credit)","Tuesday, Express (Paying)","Tuesday, General Purpose","Wednesday, Express (Credit)","Wednesday, Express (Paying)","Wednesday, General Purpose","Thursday, Express (Credit)","Thursday, Express (Paying)","Thursday, General Purpose","Friday, Express (Credit)","Friday, Express (Paying)","Friday, General Purpose"
Edge flows,0.0,1591.9135646992538,6408.086435235549,0.0,1591.0000004550577,6408.999999535059,0.0,1589.3400513016695,6410.6599486968225,0.0,1585.3866222663455,6414.613377735528,0.0,1591.23368224781,6408.766317768019
Eps flows,0.0,299.13856469950383,2529.7614352419223,0.0,298.2250004553654,2530.674999546168,0.0,296.565051301961,2532.334948693263,0.0,292.61162226665476,2536.2883777328934,0.0,298.4586822480578,2530.4413177761585
Eligible User Flows,0.0,1359.9999999998292,1.7065803577926612e-10,0.0,1359.9999999998292,1.706556818564945e-10,0.0,1359.9999999998322,1.677396889203359e-10,0.0,1359.9999999998254,1.7452937821209454e-10,0.0,1359.999999999822,1.7793102277730277e-10
"Ineligible User Flow, 1",0.0,1.534528060176399e-11,0.9999999999846547,0.0,1.793409865058493e-11,0.9999999999820659,0.0,1.9064305689653338e-11,0.9999999999809357,0.0,1.6694756688195866e-11,0.9999999999833052,0.0,1.8827606140803255e-11,0.9999999999811724
"Ineligible User Flow, 2",0.0,1.786659709068772e-11,0.9999999999821334,0.0,1.745581457157641e-11,0.9999999999825442,0.0,1.7925660955597778e-11,0.9999999999820743,0.0,1.841216068498852e-11,0.9999999999815878,0.0,1.5137779918461547e-11,0.9999999999848622
"Ineligible User Flow, 3",0.0,1.7331025503608544e-11,0.999999999982669,0.0,1.542033167822865e-11,0.9999999999845797,0.0,1.5161982780398375e-11,0.999999999984838,0.0,1.651612180353368e-11,0.9999999999834839,0.0,1.8471890683713355e-11,0.9999999999815281
"Ineligible User Flow, 4",0.0,1.6052936757660063e-11,0.9999999999839471,0.0,1.965527740566131e-11,0.9999999999803447,0.0,1.9583668020572986e-11,0.9999999999804163,0.0,1.980404729096108e-11,0.999999999980196,0.0,1.759825618563582e-11,0.9999999999824017
"Ineligible User Flow, 5",0.0,1.6034618077753748e-11,0.9999999999839654,0.0,1.5332290992375874e-11,0.9999999999846677,0.0,1.8445023286517426e-11,0.999999999981555,0.0,1.5085266369396777e-11,0.9999999999849147,0.0,1.8623214081969763e-11,0.9999999999813768
"Ineligible User Flow, 6",0.0,1.800659621409295e-11,0.9999999999819934,0.0,1.5674350706262885e-11,0.9999999999843256,0.0,1.7051693390612854e-11,0.9999999999829483,0.0,1.614508526870395e-11,0.9999999999838549,0.0,1.7688073228327994e-11,0.9999999999823119
"Ineligible User Flow, 7",0.0,1.9407031537355124e-11,0.999999999980593,0.0,1.9170554033109966e-11,0.9999999999808294,0.0,1.8238410781634684e-11,0.9999999999817616,0.0,1.7393753104499865e-11,0.9999999999826062,0.0,1.617284084431958e-11,0.9999999999838272
"Ineligible User Flow, 8",0.0,1.79152248591663e-11,0.9999999999820848,0.0,1.749411726592598e-11,0.9999999999825059,0.0,1.6568968419505836e-11,0.999999999983431,0.0,1.9266699347042504e-11,0.9999999999807333,0.0,1.5276224729632304e-11,0.9999999999847238
"Ineligible User Flow, 9",0.0,1.53413948211778e-11,0.9999999999846586,0.0,1.6560641746821148e-11,0.9999999999834394,0.0,1.9130030892711147e-11,0.99999999998087,0.0,1.7689738562864932e-11,0.9999999999823103,0.0,1.6843415551193175e-11,0.9999999999831566
"Ineligible User Flow, 10",0.0,1.554123496561033e-11,0.9999999999844588,0.0,1.7071455360451182e-11,0.9999999999829285,0.0,1.6847301331779363e-11,0.9999999999831527,0.0,1.7759238524206467e-11,0.9999999999822408,0.0,1.9468870959826745e-11,0.9999999999805311
"Ineligible User Flow, 11",0.0,1.7219892178843565e-11,0.9999999999827801,0.0,1.8966050951974012e-11,0.999999999981034,0.0,1.534394833413444e-11,0.999999999984656,0.0,1.7371659666309824e-11,0.9999999999826283,0.0,1.8132162438178057e-11,0.9999999999818678
"Ineligible User Flow, 12",0.0,1.855859910193658e-11,0.9999999999814414,0.0,1.9697465880597065e-11,0.9999999999803025,0.0,1.8468893081546867e-11,0.9999999999815311,0.0,1.750077860407373e-11,0.9999999999824992,0.0,1.775846136808923e-11,0.9999999999822415
"Ineligible User Flow, 13",0.0,1.871447441459395e-11,0.9999999999812855,0.0,1.5108025941401593e-11,0.999999999984892,0.0,1.7601142765499844e-11,0.9999999999823989,0.0,1.7689294473655082e-11,0.9999999999823107,0.0,1.5961565402733413e-11,0.9999999999840384
"Ineligible User Flow, 14",0.0,1.5217160864722246e-11,0.9999999999847828,0.0,1.7628232207300698e-11,0.9999999999823718,0.0,1.827527018605224e-11,0.9999999999817247,0.0,1.806432781137346e-11,0.9999999999819357,0.0,1.8511636667994935e-11,0.9999999999814884
"Ineligible User Flow, 15",0.0,1.7352230763378884e-11,0.9999999999826478,0.0,1.7536638807769123e-11,0.9999999999824634,0.0,1.587407982839295e-11,0.9999999999841259,0.0,1.83583148682942e-11,0.9999999999816417,0.0,1.6408319147842576e-11,0.9999999999835917
"Ineligible User Flow, 16",0.0,1.7740253710485376e-11,0.9999999999822597,0.0,1.5266898856225453e-11,0.9999999999847331,0.0,1.782829439633815e-11,0.9999999999821717,0.0,1.7475465519112277e-11,0.9999999999825245,0.0,1.6417533998946965e-11,0.9999999999835825
"Ineligible User Flow, 17",0.0,1.6136314506809413e-11,0.9999999999838637,0.0,1.9882318014197153e-11,0.9999999999801177,0.0,1.705546814889658e-11,0.9999999999829445,0.0,1.741162769519633e-11,0.9999999999825884,0.0,1.5229373317993122e-11,0.9999999999847706
"Ineligible User Flow, 18",0.0,1.9041768162253447e-11,0.9999999999809582,0.0,1.794075998873268e-11,0.9999999999820592,0.0,1.5212386905716357e-11,0.9999999999847876,0.0,1.8185786210267452e-11,0.9999999999818142,0.0,1.784761227696663e-11,0.9999999999821524
"Ineligible User Flow, 19",0.0,1.6238455025074927e-11,0.9999999999837615,0.0,1.772226809748645e-11,0.9999999999822777,0.0,1.7152723685853744e-11,0.9999999999828473,0.0,1.773026170326375e-11,0.9999999999822697,0.0,1.708899688424026e-11,0.999999999982911
"Ineligible User Flow, 20",0.0,1.564193219394383e-11,0.9999999999843581,0.0,1.6327939000859715e-11,0.9999999999836721,0.0,1.7106538408029337e-11,0.9999999999828935,0.0,1.9094281711318217e-11,0.9999999999809057,0.0,1.6327939000859715e-11,0.9999999999836721
"Ineligible User Flow, 21",0.0,1.7956525155682357e-11,0.9999999999820435,0.0,1.9288237673720232e-11,0.9999999999807118,0.0,1.760980250509192e-11,0.9999999999823902,0.0,1.9497847780769462e-11,0.9999999999805022,0.0,1.6831425142527223e-11,0.9999999999831686
"Ineligible User Flow, 22",0.0,1.7203904967288963e-11,0.9999999999827961,0.0,1.5274559395095366e-11,0.9999999999847254,0.0,1.818312167500835e-11,0.9999999999818169,0.0,1.822408890461702e-11,0.9999999999817759,0.0,1.8034240767406118e-11,0.9999999999819658
"Ineligible User Flow, 23",0.0,1.7372436822427062e-11,0.9999999999826276,0.0,1.889532974530539e-11,0.9999999999811047,0.0,1.6342149855574917e-11,0.9999999999836579,0.0,1.9187429423084268e-11,0.9999999999808126,0.0,1.819766559663094e-11,0.9999999999818023
"Ineligible User Flow, 24",0.0,1.8119172828789942e-11,0.9999999999818808,0.0,1.7120860285047e-11,0.9999999999828791,0.0,1.713673647429914e-11,0.9999999999828633,0.0,1.5817791521044455e-11,0.9999999999841822,0.0,1.7236101435003093e-11,0.9999999999827639
"Ineligible User Flow, 25",0.0,1.8522960942846112e-11,0.999999999981477,0.0,1.892408452164318e-11,0.9999999999810759,0.0,1.7392753903777702e-11,0.9999999999826072,0.0,1.6825874027404097e-11,0.9999999999831741,0.0,1.9664825323673085e-11,0.9999999999803352
"Ineligible User Flow, 26",0.0,1.8170354110225162e-11,0.9999999999818296,0.0,1.635114266207438e-11,0.9999999999836489,0.0,1.7675860775057117e-11,0.9999999999823241,0.0,1.8670398560516333e-11,0.9999999999813296,0.0,1.7692958209636345e-11,0.999999999982307
"Ineligible User Flow, 27",0.0,1.7799761664605285e-11,0.9999999999822002,0.0,1.9704571307954666e-11,0.9999999999802954,0.0,1.644684388679707e-11,0.9999999999835532,0.0,1.6117440715390785e-11,0.9999999999838826,0.0,1.7857271217280868e-11,0.9999999999821427
"Ineligible User Flow, 28",0.0,1.6304069205830274e-11,0.9999999999836959,0.0,1.9624080138669342e-11,0.9999999999803759,0.0,1.6036283412290686e-11,0.9999999999839637,0.0,1.589617326658299e-11,0.9999999999841038,0.0,1.8656520772708518e-11,0.9999999999813435
"Ineligible User Flow, 29",0.0,1.5717982471130654e-11,0.999999999984282,0.0,1.8834600545858393e-11,0.9999999999811654,0.0,1.8935408796494357e-11,0.9999999999810646,0.0,1.7108980898683512e-11,0.999999999982891,0.0,1.9838575227026922e-11,0.9999999999801614
"Ineligible User Flow, 30",0.0,1.9171442211529666e-11,0.9999999999808286,0.0,1.7100321159091436e-11,0.9999999999828997,0.0,1.8218537789493894e-11,0.9999999999817815,0.0,1.6079360065646142e-11,0.9999999999839206,0.0,1.5369927552910667e-11,0.9999999999846301
"Ineligible User Flow, 31",0.0,1.892574985618012e-11,0.9999999999810743,0.0,1.5330181568629087e-11,0.9999999999846698,0.0,1.6112111644872584e-11,0.9999999999838879,0.0,1.6430301563730154e-11,0.9999999999835697,0.0,1.806033100848481e-11,0.9999999999819397
"Ineligible User Flow, 32",0.0,1.5228596161875885e-11,0.9999999999847714,0.0,1.542654892716655e-11,0.9999999999845735,0.0,1.5656698160171345e-11,0.9999999999843433,0.0,1.6915802092398735e-11,0.9999999999830842,0.0,1.694466789103899e-11,0.9999999999830553
"Ineligible User Flow, 33",0.0,1.8958390413104098e-11,0.9999999999810416,0.0,1.7418844144856394e-11,0.9999999999825812,0.0,1.943778471513724e-11,0.9999999999805622,0.0,1.7504220295450068e-11,0.9999999999824958,0.0,1.732247678631893e-11,0.9999999999826775
"Ineligible User Flow, 34",0.0,1.641731195434204e-11,0.9999999999835827,0.0,1.787237025041577e-11,0.9999999999821276,0.0,1.8443691018887876e-11,0.9999999999815563,0.0,1.5838108602395096e-11,0.9999999999841619,0.0,1.7424173215374594e-11,0.9999999999825758
"Ineligible User Flow, 35",0.0,1.600641841292827e-11,0.9999999999839936,0.0,1.96831440035794e-11,0.9999999999803169,0.0,1.76380021699174e-11,0.999999999982362,0.0,1.576461183816491e-11,0.9999999999842354,0.0,1.8210988272926443e-11,0.999999999981789
"Ineligible User Flow, 36",0.0,1.6496026766787963e-11,0.999999999983504,0.0,1.9236612303075162e-11,0.9999999999807634,0.0,1.5674683773170273e-11,0.9999999999843253,0.0,1.833577734089431e-11,0.9999999999816642,0.0,1.7359669257643873e-11,0.9999999999826403
"Ineligible User Flow, 37",0.0,1.8178902827514776e-11,0.9999999999818211,0.0,1.7652435069237526e-11,0.9999999999823476,0.0,1.58727475607634e-11,0.9999999999841273,0.0,1.8270163160138964e-11,0.9999999999817298,0.0,1.8535839529931764e-11,0.9999999999814642
"Ineligible User Flow, 38",0.0,1.7924661754875615e-11,0.9999999999820753,0.0,1.6455059537179295e-11,0.9999999999835449,0.0,1.94112503848487e-11,0.9999999999805887,0.0,1.6673551428425526e-11,0.9999999999833264,0.0,1.6831536164829686e-11,0.9999999999831685
"Ineligible User Flow, 39",0.0,1.7836732091325302e-11,0.9999999999821633,0.0,1.9888535263135054e-11,0.9999999999801115,0.0,1.738287291885854e-11,0.9999999999826171,0.0,1.689748341249242e-11,0.9999999999831025,0.0,1.696154328101329e-11,0.9999999999830385
"Ineligible User Flow, 40",0.0,1.6867396368525078e-11,0.9999999999831326,0.0,1.705768859494583e-11,0.9999999999829423,0.0,1.6030843319470023e-11,0.9999999999839692,0.0,1.6519452472607554e-11,0.9999999999834805,0.0,1.7179591083049672e-11,0.9999999999828204
"Ineligible User Flow, 41",0.0,1.586220044202946e-11,0.9999999999841378,0.0,1.7573942301396528e-11,0.9999999999824261,0.0,1.965927420854996e-11,0.9999999999803407,0.0,1.6650236744908398e-11,0.9999999999833498,0.0,1.571642815889618e-11,0.9999999999842836
"Ineligible User Flow, 42",0.0,1.5165091404867326e-11,0.9999999999848349,0.0,1.783218017692434e-11,0.9999999999821678,0.0,1.9164891895684377e-11,0.9999999999808351,0.0,1.658451154185059e-11,0.9999999999834155,0.0,1.9468315848314433e-11,0.9999999999805317
