,"Monday, Express (Credit)","Monday, Express (Paying)","Monday, General Purpose","Tuesday, Express (Credit)","Tuesday, Express (Paying)","Tuesday, General Purpose","Wednesday, Express (Credit)","Wednesday, Express (Paying)","Wednesday, General Purpose","Thursday, Express (Credit)","Thursday, Express (Paying)","Thursday, General Purpose","Friday, Express (Credit)","Friday, Express (Paying)","Friday, General Purpose"
Edge flows,0.0,1514.5083086441336,6485.4916913551715,0.0,1513.2130936856574,6486.786906315821,0.0,1512.6556727083953,6487.34432729039,0.0,1506.8045007852015,6493.195499214271,0.0,1513.2842921883948,6486.7157078116
Eps flows,0.0,221.7333086441884,2607.1666913554004,0.0,220.43809368619213,2608.461906315127,0.0,219.88067270924958,2609.019327290238,0.0,214.02950078591417,2614.87049921365,0.0,220.509292188705,2608.3907078115976
Eligible User Flows,157.86176682017182,1202.138233180254,6.664854874108687e-11,334.74980977194593,1025.2501902286822,5.053197311587699e-11,433.57429607211117,926.4257039276383,1.9400866144928998e-11,448.2721986309812,911.7278013692195,2.0226301834839318e-11,461.39553857776326,898.6044614222906,1.5760770357554065e-11
"Ineligible User Flow, 1",0.0,6.208367153703875e-13,0.9999999999993792,0.0,7.249756350802272e-13,0.999999999999275,0.0,7.700506898800086e-13,0.99999999999923,0.0,6.750155989720952e-13,0.999999999999325,0.0,7.609468610780823e-13,0.999999999999239
"Ineligible User Flow, 2",0.0,7.222000775186643e-13,0.9999999999992778,0.0,7.05768776754212e-13,0.9999999999992942,0.0,7.244205235679146e-13,0.9999999999992756,0.0,7.440714711037799e-13,0.9999999999992559,0.0,6.125100426856989e-13,0.9999999999993875
"Ineligible User Flow, 3",0.0,7.006617508409363e-13,0.9999999999992993,0.0,6.238343175368755e-13,0.9999999999993762,0.0,6.132871988029365e-13,0.9999999999993867,0.0,6.679101716144942e-13,0.9999999999993321,0.0,7.466249840604178e-13,0.9999999999992534
"Ineligible User Flow, 4",0.0,6.492584248007915e-13,0.9999999999993507,0.0,7.94031507211912e-13,0.999999999999206,0.0,7.909228827429615e-13,0.9999999999992091,0.0,7.999156892424253e-13,0.9999999999992001,0.0,7.115419364822628e-13,0.9999999999992885
"Ineligible User Flow, 5",0.0,6.485922909860165e-13,0.9999999999993514,0.0,6.20281603858075e-13,0.9999999999993797,0.0,7.451816941284051e-13,0.9999999999992548,0.0,6.102895966364486e-13,0.9999999999993897,0.0,7.527312106958561e-13,0.9999999999992473
"Ineligible User Flow, 6",0.0,7.278622149442526e-13,0.9999999999992721,0.0,6.340483693634269e-13,0.999999999999366,0.0,6.892264536872972e-13,0.9999999999993108,0.0,6.529221607820546e-13,0.9999999999993471,0.0,7.150946501610633e-13,0.9999999999992849
"Ineligible User Flow, 7",0.0,7.841505222927481e-13,0.9999999999992158,0.0,7.746026042809717e-13,0.9999999999992254,0.0,7.369660437461789e-13,0.999999999999263,0.0,7.031042414951116e-13,0.9999999999992969,0.0,6.541434061091422e-13,0.9999999999993459
"Ineligible User Flow, 8",0.0,7.241984789629896e-13,0.9999999999992758,0.0,7.072120666862247e-13,0.9999999999992928,0.0,6.697975507563569e-13,0.9999999999993302,0.0,7.783773625646973e-13,0.9999999999992216,0.0,6.180611578088246e-13,0.9999999999993819
"Ineligible User Flow, 9",0.0,6.206146707654625e-13,0.9999999999993794,0.0,6.696865284538944e-13,0.9999999999993303,0.0,7.72715225139109e-13,0.9999999999992273,0.0,7.150946501610633e-13,0.9999999999992849,0.0,6.811218256075335e-13,0.9999999999993189
"Ineligible User Flow, 10",0.0,6.287192988452261e-13,0.9999999999993713,0.0,6.902256544094598e-13,0.9999999999993098,0.0,6.81010803305071e-13,0.999999999999319,0.0,7.178702077226262e-13,0.9999999999992821,0.0,7.867040352493859e-13,0.9999999999992133
"Ineligible User Flow, 11",0.0,6.962208587424357e-13,0.9999999999993038,0.0,7.663869538987456e-13,0.9999999999992336,0.0,6.206146707654625e-13,0.9999999999993794,0.0,7.022160630754115e-13,0.9999999999992978,0.0,7.329692408575283e-13,0.999999999999267
"Ineligible User Flow, 12",0.0,7.500666754367558e-13,0.9999999999992499,0.0,7.958078640513122e-13,0.9999999999992042,0.0,7.461808948505677e-13,0.9999999999992538,0.0,7.074341112911497e-13,0.9999999999992926,0.0,7.179812300250887e-13,0.999999999999282
"Ineligible User Flow, 13",0.0,7.562839243746566e-13,0.9999999999992437,0.0,6.112887973586112e-13,0.9999999999993887,0.0,7.113198918773378e-13,0.9999999999992887,0.0,7.149836278586008e-13,0.999999999999285,0.0,6.45705711121991e-13,0.9999999999993543
"Ineligible User Flow, 14",0.0,6.156186671546493e-13,0.9999999999993844,0.0,7.12652159506888e-13,0.9999999999992873,0.0,7.384093336781916e-13,0.9999999999992616,0.0,7.300826609935029e-13,0.9999999999992699,0.0,7.482903185973555e-13,0.9999999999992517
"Ineligible User Flow, 15",0.0,7.015499292606364e-13,0.9999999999992985,0.0,7.08988423525625e-13,0.999999999999291,0.0,6.419309528382655e-13,0.9999999999993581,0.0,7.419620473569921e-13,0.999999999999258,0.0,6.636913241209186e-13,0.9999999999993363
"Ineligible User Flow, 16",0.0,7.172040739078511e-13,0.9999999999992828,0.0,6.176170685989746e-13,0.9999999999993824,0.0,7.204237206792641e-13,0.9999999999992796,0.0,7.064349105689871e-13,0.9999999999992936,0.0,6.640243910283061e-13,0.999999999999336
"Ineligible User Flow, 17",0.0,6.527001161771295e-13,0.9999999999993473,0.0,8.032463583163008e-13,0.9999999999991968,0.0,6.894484982922222e-13,0.9999999999993106,0.0,7.038813976123492e-13,0.9999999999992961,0.0,6.161737786669619e-13,0.9999999999993838
"Ineligible User Flow, 18",0.0,7.69495578367696e-13,0.9999999999992305,0.0,7.251976796851523e-13,0.9999999999992748,0.0,6.152856002472618e-13,0.9999999999993847,0.0,7.349676423018536e-13,0.999999999999265,0.0,7.215339437038892e-13,0.9999999999992785
"Ineligible User Flow, 19",0.0,6.568079413682426e-13,0.9999999999993432,0.0,7.164269177906135e-13,0.9999999999992836,0.0,6.933342788784103e-13,0.9999999999993067,0.0,7.166489623955385e-13,0.9999999999992834,0.0,6.910028105266974e-13,0.999999999999309
"Ineligible User Flow, 20",0.0,6.327161017338767e-13,0.9999999999993673,0.0,6.603606550470431e-13,0.9999999999993396,0.0,6.914468997365475e-13,0.9999999999993086,0.0,7.714939798120213e-13,0.9999999999992285,0.0,6.604716773495056e-13,0.9999999999993395
"Ineligible User Flow, 21",0.0,7.258638134999273e-13,0.9999999999992741,0.0,7.793765632868599e-13,0.9999999999992206,0.0,7.116529587847253e-13,0.9999999999992883,0.0,7.877032359715486e-13,0.9999999999992123,0.0,6.806777363976835e-13,0.9999999999993193
"Ineligible User Flow, 22",0.0,6.955547249276606e-13,0.9999999999993044,0.0,6.179501355063621e-13,0.999999999999382,0.0,7.347455976969286e-13,0.9999999999992653,0.0,7.365219545363288e-13,0.9999999999992635,0.0,7.290834602713403e-13,0.9999999999992709
"Ineligible User Flow, 23",0.0,7.02327085377874e-13,0.9999999999992977,0.0,7.636113963371827e-13,0.9999999999992364,0.0,6.606937219544307e-13,0.9999999999993393,0.0,7.751577157932843e-13,0.9999999999992248,0.0,7.356337761166287e-13,0.9999999999992644
"Ineligible User Flow, 24",0.0,7.324141293452158e-13,0.9999999999992676,0.0,6.922240558537851e-13,0.9999999999993078,0.0,6.926681450636352e-13,0.9999999999993073,0.0,6.397105067890152e-13,0.9999999999993603,0.0,6.969980148596733e-13,0.999999999999303
"Ineligible User Flow, 25",0.0,7.486233855047431e-13,0.9999999999992514,0.0,7.647216193618078e-13,0.9999999999992353,0.0,7.029932191926491e-13,0.999999999999297,0.0,6.803446694902959e-13,0.9999999999993197,0.0,7.945866187242245e-13,0.9999999999992054
"Ineligible User Flow, 26",0.0,7.344125307895411e-13,0.9999999999992656,0.0,6.612488334667432e-13,0.9999999999993388,0.0,7.143174940438257e-13,0.9999999999992857,0.0,7.543965452327939e-13,0.9999999999992456,0.0,7.153166947659884e-13,0.9999999999992847
"Ineligible User Flow, 27",0.0,7.19535542259564e-13,0.9999999999992805,0.0,7.960299086562372e-13,0.999999999999204,0.0,6.649125694480063e-13,0.9999999999993351,0.0,6.518119377574294e-13,0.9999999999993482,0.0,7.219780329137393e-13,0.999999999999278
"Ineligible User Flow, 28",0.0,6.593614543248805e-13,0.9999999999993406,0.0,7.928102618848243e-13,0.9999999999992072,0.0,6.484812686835539e-13,0.9999999999993515,0.0,6.429301535604282e-13,0.9999999999993571,0.0,7.540634783254063e-13,0.9999999999992459
"Ineligible User Flow, 29",0.0,6.358247262028272e-13,0.9999999999993642,0.0,7.611689056830073e-13,0.9999999999992388,0.0,7.649436639667329e-13,0.9999999999992351,0.0,6.916689443414725e-13,0.9999999999993083,0.0,8.01581023779363e-13,0.9999999999991984
"Ineligible User Flow, 30",0.0,7.747136265834342e-13,0.9999999999992253,0.0,6.914468997365475e-13,0.9999999999993086,0.0,7.361888876289413e-13,0.9999999999992638,0.0,6.502576255229542e-13,0.9999999999993497,0.0,6.218359160925502e-13,0.9999999999993782
"Ineligible User Flow, 31",0.0,7.648326416642703e-13,0.9999999999992352,0.0,6.201705815556124e-13,0.9999999999993798,0.0,6.514788708500419e-13,0.9999999999993485,0.0,6.643574579356937e-13,0.9999999999993356,0.0,7.300826609935029e-13,0.9999999999992699
