,"Monday, Express (Credit)","Monday, Express (Paying)","Monday, General Purpose","Tuesday, Express (Credit)","Tuesday, Express (Paying)","Tuesday, General Purpose","Wednesday, Express (Credit)","Wednesday, Express (Paying)","Wednesday, General Purpose","Thursday, Express (Credit)","Thursday, Express (Paying)","Thursday, General Purpose","Friday, Express (Credit)","Friday, Express (Paying)","Friday, General Purpose"
Edge flows,0.0,1514.5083086576797,6485.491691341773,0.0,1513.2130936764188,6486.786906323807,0.0,1512.6556727118568,6487.3443272879485,0.0,1506.804500795437,6493.195499204852,0.0,1513.2842921996653,6486.715707801246
Eps flows,0.0,221.73330865815575,2607.166691341903,0.0,220.43809367671352,2608.4619063245314,0.0,219.8806727118483,2609.019327287844,0.0,214.02950079526332,2614.870499204691,0.0,220.50929219851983,2608.39070780172
Eligible User Flows,496.28351625174855,863.7164837484603,1.594834523827279e-11,495.5083584429312,864.4916415567913,1.6387314629123558e-11,502.3197156079972,857.68028439195,1.621079925429599e-11,493.68660399055693,866.3133960096374,1.68465540089864e-11,495.88380083257766,864.1161991674812,1.838327541344462e-11
"Ineligible User Flow, 1",0.0,6.424860643505781e-13,0.9999999999993575,0.0,7.502887200416808e-13,0.9999999999992497,0.0,7.970291093783999e-13,0.999999999999203,0.0,6.98663349396611e-13,0.9999999999993013,0.0,7.874811913666235e-13,0.9999999999992125
"Ineligible User Flow, 2",0.0,7.475131624801179e-13,0.9999999999992525,0.0,7.304157279008905e-13,0.9999999999992696,0.0,7.497336085293682e-13,0.9999999999992503,0.0,7.700506898800086e-13,0.99999999999923,0.0,6.339373470609644e-13,0.9999999999993661
"Ineligible User Flow, 3",0.0,7.251976796851523e-13,0.9999999999992748,0.0,6.455946888195285e-13,0.9999999999993544,0.0,6.34714503178202e-13,0.9999999999993653,0.0,6.912248551316225e-13,0.9999999999993088,0.0,7.72715225139109e-13,0.9999999999992273
"Ineligible User Flow, 4",0.0,6.720179968056073e-13,0.999999999999328,0.0,8.218981051300034e-13,0.9999999999991781,0.0,8.185674360561279e-13,0.9999999999991814,0.0,8.278933094629792e-13,0.9999999999991721,0.0,7.364109322338663e-13,0.9999999999992636
"Ineligible User Flow, 5",0.0,6.712408406883696e-13,0.9999999999993288,0.0,6.419309528382655e-13,0.9999999999993581,0.0,7.712719352070962e-13,0.9999999999992287,0.0,6.316058787092516e-13,0.9999999999993684,0.0,7.790434963794723e-13,0.999999999999221
"Ineligible User Flow, 6",0.0,7.532863222081687e-13,0.9999999999992467,0.0,6.5625282985593e-13,0.9999999999993437,0.0,7.133182933216631e-13,0.9999999999992867,0.0,6.757927550893328e-13,0.9999999999993242,0.0,7.400746682151293e-13,0.9999999999992599
"Ineligible User Flow, 7",0.0,8.115730310009894e-13,0.9999999999991884,0.0,8.016920460818255e-13,0.9999999999991983,0.0,7.627232179174825e-13,0.9999999999992373,0.0,7.277511926417901e-13,0.9999999999992722,0.0,6.770140004164205e-13,0.999999999999323
