,"Monday, Express (Credit)","Monday, Express (Paying)","Monday, General Purpose","Tuesday, Express (Credit)","Tuesday, Express (Paying)","Tuesday, General Purpose","Wednesday, Express (Credit)","Wednesday, Express (Paying)","Wednesday, General Purpose","Thursday, Express (Credit)","Thursday, Express (Paying)","Thursday, General Purpose","Friday, Express (Credit)","Friday, Express (Paying)","Friday, General Purpose"
Edge flows,0.0,1591.9135666096554,6408.086433412998,0.0,1591.0000000577784,6408.9999999385545,0.0,1589.340051228166,6410.659948770852,0.0,1585.386622084212,6414.613377914855,0.0,1591.2336819799038,6408.766318025097
Eps flows,0.0,299.1385666108974,2529.7614334068735,0.0,298.2250000574438,2530.674999937041,0.0,296.56505122884755,2532.3349487711353,0.0,292.61162208420933,2536.2883779144217,0.0,298.45868197978353,2530.4413180225692
Eligible User Flows,92.25481216895376,1267.745187831379,1.1320315106563047e-10,137.3938049888447,1222.6061950118612,1.0794953335875695e-10,9.412561309441145,1350.5874386904604,1.183977154869825e-10,364.90054414235254,995.099455857662,4.542532851295177e-11,416.11096600513383,943.8890339946763,2.3144047611873358e-11
"Ineligible User Flow, 1",0.0,2.330691195595591e-12,0.9999999999976693,0.0,2.723821168615359e-12,0.9999999999972762,0.0,2.8954616482224083e-12,0.9999999999971045,0.0,2.535638365941395e-12,0.9999999999974644,0.0,2.8596014445270157e-12,0.9999999999971404
"Ineligible User Flow, 2",0.0,2.7136071167888076e-12,0.9999999999972864,0.0,2.6511015605024113e-12,0.9999999999973489,0.0,2.722488900985809e-12,0.9999999999972775,0.0,2.7964297544258443e-12,0.9999999999972036,0.0,2.2991608616962367e-12,0.9999999999977008
"Ineligible User Flow, 3",0.0,2.6322277690837836e-12,0.9999999999973678,0.0,2.3420154704467677e-12,0.999999999997658,0.0,2.3028245976774997e-12,0.9999999999976972,0.0,2.5084379018380787e-12,0.9999999999974916,0.0,2.8055335832277706e-12,0.9999999999971945
"Ineligible User Flow, 4",0.0,2.4381607843793063e-12,0.9999999999975618,0.0,2.985167668612121e-12,0.9999999999970148,0.0,2.974398505273257e-12,0.9999999999970256,0.0,3.007816218314474e-12,0.9999999999969922,0.0,2.6728619317850644e-12,0.9999999999973271
"Ineligible User Flow, 5",0.0,2.4353852268177434e-12,0.9999999999975646,0.0,2.328692794151266e-12,0.9999999999976713,0.0,2.8014257580366575e-12,0.9999999999971986,0.0,2.2911672559189356e-12,0.9999999999977088,0.0,2.8285151998375113e-12,0.9999999999971715
"Ineligible User Flow, 6",0.0,2.7349233988616106e-12,0.9999999999972651,0.0,2.3805402094012607e-12,0.9999999999976195,0.0,2.5898172495431027e-12,0.9999999999974102,0.0,2.4521495944895833e-12,0.9999999999975479,0.0,2.6865176749879538e-12,0.9999999999973135
"Ineligible User Flow, 7",0.0,2.9476421303797906e-12,0.9999999999970524,0.0,2.911559882079473e-12,0.9999999999970884,0.0,2.7700064464397656e-12,0.99999999999723,0.0,2.64177568709556e-12,0.9999999999973582,0.0,2.456368441983159e-12,0.9999999999975436
"Ineligible User Flow, 8",0.0,2.721045611053796e-12,0.999999999997279,0.0,2.6569857425329246e-12,0.999999999997343,0.0,2.51643150761538e-12,0.9999999999974836,0.0,2.926214826004525e-12,0.9999999999970738,0.0,2.320144076861652e-12,0.9999999999976799
