,"Monday, Express (Credit)","Monday, Express (Paying)","Monday, General Purpose","Tuesday, Express (Credit)","Tuesday, Express (Paying)","Tuesday, General Purpose","Wednesday, Express (Credit)","Wednesday, Express (Paying)","Wednesday, General Purpose","Thursday, Express (Credit)","Thursday, Express (Paying)","Thursday, General Purpose","Friday, Express (Credit)","Friday, Express (Paying)","Friday, General Purpose"
Edge flows,0.0,1552.0000151344302,6447.999984883343,0.0,1551.3821193768144,6448.617880623187,0.0,1551.0000000261662,6448.999999973832,0.0,1545.1472046826766,6454.852795317322,0.0,1551.7463624124866,6448.25363758751
Eps flows,0.0,259.22501512915164,2569.6749848860545,0.0,258.607119376828,2570.2928806231907,0.0,258.22500002617943,2570.6749999738345,0.0,252.37220468269084,2576.527795317328,0.0,258.9713624124993,2569.928637587516
Eligible User Flows,404.90425250738605,955.0957474927496,1.55975152460061e-10,435.4540484505735,924.5459515493131,1.1340744832333213e-10,434.17329177541114,925.8267082245608,2.7668562218901617e-11,427.9318527543574,932.0681472456076,4.7687143967481176e-11,441.14339934530034,918.8566006546783,2.0565594994443398e-11
"Ineligible User Flow, 1",0.0,5.450084827884893e-13,0.999999999999455,0.0,6.364908600176022e-13,0.9999999999993635,0.0,6.760147996942578e-13,0.999999999999324,0.0,5.92526028242446e-13,0.9999999999994075,0.0,6.679101716144942e-13,0.9999999999993321
"Ineligible User Flow, 2",0.0,6.342704139683519e-13,0.9999999999993657,0.0,6.196154700432999e-13,0.9999999999993804,0.0,6.358247262028272e-13,0.9999999999993642,0.0,6.532552276894421e-13,0.9999999999993467,0.0,5.373479439185758e-13,0.9999999999994627
"Ineligible User Flow, 3",0.0,6.153966225497243e-13,0.9999999999993846,0.0,5.475619957451272e-13,0.9999999999994524,0.0,5.381251000358134e-13,0.9999999999994619,0.0,5.861977570020827e-13,0.9999999999994138,0.0,6.553646514362299e-13,0.9999999999993446
"Ineligible User Flow, 4",0.0,5.700995231450179e-13,0.9999999999994299,0.0,6.974421040695233e-13,0.9999999999993026,0.0,6.943334796005729e-13,0.9999999999993057,0.0,7.024381076803365e-13,0.9999999999992976,0.0,6.245004513516506e-13,0.9999999999993755
"Ineligible User Flow, 5",0.0,5.694333893302428e-13,0.9999999999994306,0.0,5.444533712761768e-13,0.9999999999994555,0.0,6.541434061091422e-13,0.9999999999993459,0.0,5.355715870791755e-13,0.9999999999994644,0.0,6.606937219544307e-13,0.9999999999993393
"Ineligible User Flow, 6",0.0,6.392664175791651e-13,0.9999999999993607,0.0,5.56554802244591e-13,0.9999999999994434,0.0,6.049605261182478e-13,0.999999999999395,0.0,5.730971253115058e-13,0.9999999999994269,0.0,6.27609075820601e-13,0.9999999999993724
"Ineligible User Flow, 7",0.0,6.888933867799096e-13,0.9999999999993111,0.0,6.802336471878334e-13,0.9999999999993198,0.0,6.468159341466162e-13,0.9999999999993532,0.0,6.17284001691587e-13,0.9999999999993827,0.0,5.739853037312059e-13,0.999999999999426
"Ineligible User Flow, 8",0.0,6.360467708077522e-13,0.999999999999364,0.0,6.209477376728501e-13,0.999999999999379,0.0,5.878630915390204e-13,0.9999999999994121,0.0,6.834532939592464e-13,0.9999999999993165,0.0,5.42343947529389e-13,0.9999999999994577
"Ineligible User Flow, 9",0.0,5.448974604860268e-13,0.9999999999994551,0.0,5.879741138414829e-13,0.999999999999412,0.0,6.783462680459706e-13,0.9999999999993217,0.0,6.277200981230635e-13,0.9999999999993723,0.0,5.977440764581843e-13,0.9999999999994023
"Ineligible User Flow, 10",0.0,5.520028878436278e-13,0.999999999999448,0.0,6.059597268404104e-13,0.999999999999394,0.0,5.977440764581843e-13,0.9999999999994023,0.0,6.301625887772389e-13,0.9999999999993698,0.0,6.905587213168474e-13,0.9999999999993094
"Ineligible User Flow, 11",0.0,6.113998196610737e-13,0.9999999999993886,0.0,6.730171975277699e-13,0.999999999999327,0.0,5.445643935786393e-13,0.9999999999994554,0.0,6.165068455743494e-13,0.9999999999993835,0.0,6.433742427702782e-13,0.9999999999993566
"Ineligible User Flow, 12",0.0,6.588063428125679e-13,0.9999999999993412,0.0,6.98885394001536e-13,0.9999999999993011,0.0,6.550315845288424e-13,0.999999999999345,0.0,6.210587599753126e-13,0.9999999999993789,0.0,6.301625887772389e-13,0.9999999999993698
"Ineligible User Flow, 13",0.0,6.643574579356937e-13,0.9999999999993356,0.0,5.364597654988756e-13,0.9999999999994635,0.0,6.24389429049188e-13,0.9999999999993756,0.0,6.277200981230635e-13,0.9999999999993723,0.0,5.665468094662174e-13,0.9999999999994335
"Ineligible User Flow, 14",0.0,5.404565683875262e-13,0.9999999999994595,0.0,6.257216966787382e-13,0.9999999999993743,0.0,6.481482017761664e-13,0.9999999999993519,0.0,6.409317521161029e-13,0.9999999999993591,0.0,6.568079413682426e-13,0.9999999999993432
"Ineligible User Flow, 15",0.0,6.160627563644994e-13,0.9999999999993839,0.0,6.225020499073253e-13,0.9999999999993775,0.0,5.633271626948044e-13,0.9999999999994367,0.0,6.513678485475793e-13,0.9999999999993486,0.0,5.823119764158946e-13,0.9999999999994177
"Ineligible User Flow, 16",0.0,6.298295218698513e-13,0.9999999999993702,0.0,5.421219029244639e-13,0.9999999999994579,0.0,6.323830348264892e-13,0.9999999999993676,0.0,6.201705815556124e-13,0.9999999999993798,0.0,5.826450433232822e-13,0.9999999999994174
"Ineligible User Flow, 17",0.0,5.730971253115058e-13,0.9999999999994269,0.0,7.054357098468245e-13,0.9999999999992946,0.0,6.050715484207103e-13,0.9999999999993949,0.0,6.178391132038996e-13,0.9999999999993822,0.0,5.406786129924512e-13,0.9999999999994593
"Ineligible User Flow, 18",0.0,6.759037773917953e-13,0.9999999999993241,0.0,6.367129046225273e-13,0.9999999999993633,0.0,5.399014568752136e-13,0.9999999999994601,0.0,6.45261621912141e-13,0.9999999999993547,0.0,6.332712132461893e-13,0.9999999999993667
"Ineligible User Flow, 19",0.0,5.766498389903063e-13,0.9999999999994234,0.0,6.290523657526137e-13,0.999999999999371,0.0,6.085132397970483e-13,0.9999999999993915,0.0,6.291633880550762e-13,0.9999999999993708,0.0,6.064038160502605e-13,0.9999999999993936
"Ineligible User Flow, 20",0.0,5.555556015224283e-13,0.9999999999994444,0.0,5.796474411567942e-13,0.9999999999994204,0.0,6.068479052601106e-13,0.9999999999993932,0.0,6.77347067323808e-13,0.9999999999993227,0.0,5.795364188543317e-13,0.9999999999994205
"Ineligible User Flow, 21",0.0,6.374900607397649e-13,0.9999999999993625,0.0,6.84452494681409e-13,0.9999999999993155,0.0,6.246114736541131e-13,0.9999999999993754,0.0,6.916689443414725e-13,0.9999999999993083,0.0,5.972999872483342e-13,0.9999999999994027
"Ineligible User Flow, 22",0.0,6.108447081487611e-13,0.9999999999993892,0.0,5.42343947529389e-13,0.9999999999994577,0.0,6.449285550047534e-13,0.9999999999993551,0.0,6.465938895416912e-13,0.9999999999993534,0.0,6.398215290914777e-13,0.9999999999993602
"Ineligible User Flow, 23",0.0,6.16839912481737e-13,0.9999999999993832,0.0,6.705747068735946e-13,0.9999999999993294,0.0,5.798694857617193e-13,0.9999999999994201,0.0,6.806777363976835e-13,0.9999999999993193,0.0,6.45705711121991e-13,0.9999999999993543
"Ineligible User Flow, 24",0.0,6.432632204678157e-13,0.9999999999993567,0.0,6.077360836798107e-13,0.9999999999993923,0.0,6.079581282847357e-13,0.999999999999392,0.0,5.614397835529417e-13,0.9999999999994386,0.0,6.116218642659987e-13,0.9999999999993884
"Ineligible User Flow, 25",0.0,6.575850974854802e-13,0.9999999999993424,0.0,6.715739075957572e-13,0.9999999999993284,0.0,6.169509347841995e-13,0.999999999999383,0.0,5.971889649458717e-13,0.9999999999994028,0.0,6.975531263719859e-13,0.9999999999993024
"Ineligible User Flow, 26",0.0,6.45039577307216e-13,0.999999999999355,0.0,5.805356195764944e-13,0.9999999999994195,0.0,6.269429420058259e-13,0.9999999999993731,0.0,6.623590564913684e-13,0.9999999999993376,0.0,6.27831120425526e-13,0.9999999999993722
"Ineligible User Flow, 27",0.0,6.319389456166391e-13,0.9999999999993681,0.0,6.991074386064611e-13,0.9999999999993009,0.0,5.835332217429823e-13,0.9999999999994165,0.0,5.720979245893432e-13,0.9999999999994279,0.0,6.336042801535768e-13,0.9999999999993664
"Ineligible User Flow, 28",0.0,5.789813073420191e-13,0.999999999999421,0.0,6.963318810448982e-13,0.9999999999993037,0.0,5.689893001203927e-13,0.999999999999431,0.0,5.642153411145046e-13,0.9999999999994358,0.0,6.619149672815183e-13,0.9999999999993381
"Ineligible User Flow, 29",0.0,5.582201367815287e-13,0.9999999999994418,0.0,6.683542608243442e-13,0.9999999999993316,0.0,6.714628852932947e-13,0.9999999999993285,0.0,6.071809721674981e-13,0.9999999999993928,0.0,7.036593530074242e-13,0.9999999999992963
"Ineligible User Flow, 30",0.0,6.804556917927584e-13,0.9999999999993195,0.0,6.070699498650356e-13,0.9999999999993929,0.0,6.461498003318411e-13,0.9999999999993539,0.0,5.70765656959793e-13,0.9999999999994292,0.0,5.455635943008019e-13,0.9999999999994544
"Ineligible User Flow, 31",0.0,6.717959522006822e-13,0.9999999999993282,0.0,5.443423489737143e-13,0.9999999999994557,0.0,5.716538353794931e-13,0.9999999999994283,0.0,5.832001548355947e-13,0.9999999999994168,0.0,6.408207298136404e-13,0.9999999999993592
"Ineligible User Flow, 32",0.0,5.409006575973763e-13,0.9999999999994591,0.0,5.477840403500522e-13,0.9999999999994522,0.0,5.555556015224283e-13,0.9999999999994444,0.0,6.002975894148221e-13,0.9999999999993997,0.0,6.012967901369848e-13,0.9999999999993987
"Ineligible User Flow, 33",0.0,6.730171975277699e-13,0.999999999999327,0.0,6.182832024137497e-13,0.9999999999993817,0.0,6.892264536872972e-13,0.9999999999993108,0.0,6.211697822777751e-13,0.9999999999993788,0.0,6.147304887349492e-13,0.9999999999993853
"Ineligible User Flow, 34",0.0,5.829781102306697e-13,0.999999999999417,0.0,6.343814362708144e-13,0.9999999999993656,0.0,6.541434061091422e-13,0.9999999999993459,0.0,5.622169396701793e-13,0.9999999999994378,0.0,6.182832024137497e-13,0.9999999999993817
"Ineligible User Flow, 35",0.0,5.684341886080801e-13,0.9999999999994316,0.0,6.983302824892235e-13,0.9999999999993017,0.0,6.256106743762757e-13,0.9999999999993744,0.0,5.595524044110789e-13,0.9999999999994404,0.0,6.461498003318411e-13,0.9999999999993539
"Ineligible User Flow, 36",0.0,5.857536677922326e-13,0.9999999999994142,0.0,6.825651155395462e-13,0.9999999999993174,0.0,5.562217353372034e-13,0.9999999999994438,0.0,6.505906924303417e-13,0.9999999999993494,0.0,6.160627563644994e-13,0.9999999999993839
"Ineligible User Flow, 37",0.0,6.453726442146035e-13,0.9999999999993546,0.0,6.266098750984384e-13,0.9999999999993734,0.0,5.632161403923419e-13,0.9999999999994368,0.0,6.482592240786289e-13,0.9999999999993517,0.0,6.575850974854802e-13,0.9999999999993424
"Ineligible User Flow, 38",0.0,6.363798377151397e-13,0.9999999999993636,0.0,5.841993555577574e-13,0.9999999999994158,0.0,6.883382752675971e-13,0.9999999999993117,0.0,5.917488721252084e-13,0.9999999999994083,0.0,5.972999872483342e-13,0.9999999999994027
"Ineligible User Flow, 39",0.0,6.332712132461893e-13,0.9999999999993667,0.0,7.056577544517495e-13,0.9999999999992943,0.0,6.166178678768119e-13,0.9999999999993834,0.0,5.997424779025096e-13,0.9999999999994003,0.0,6.019629239517599e-13,0.999999999999398
"Ineligible User Flow, 40",0.0,5.98965321785272e-13,0.999999999999401,0.0,6.055156376305604e-13,0.9999999999993945,0.0,5.688782778179302e-13,0.9999999999994311,0.0,5.863087793045452e-13,0.9999999999994137,0.0,6.096234628216735e-13,0.9999999999993904
"Ineligible User Flow, 41",0.0,5.633271626948044e-13,0.9999999999994367,0.0,6.238343175368755e-13,0.9999999999993762,0.0,6.969980148596733e-13,0.999999999999303,0.0,5.909717160079708e-13,0.999999999999409,0.0,5.578870698741412e-13,0.9999999999994421
"Ineligible User Flow, 42",0.0,5.38680211548126e-13,0.9999999999994613,0.0,6.329381463388017e-13,0.9999999999993671,0.0,6.795675133730583e-13,0.9999999999993204,0.0,5.88640247656258e-13,0.9999999999994114,0.0,6.905587213168474e-13,0.9999999999993094
"Ineligible User Flow, 43",0.0,5.810907310888069e-13,0.9999999999994189,0.0,5.812017533912694e-13,0.9999999999994188,0.0,5.891953591685706e-13,0.9999999999994108,0.0,6.91335877434085e-13,0.9999999999993087,0.0,5.635492072997295e-13,0.9999999999994365
"Ineligible User Flow, 44",0.0,6.088463067044358e-13,0.9999999999993912,0.0,5.452305273934144e-13,0.9999999999994548,0.0,6.821210263296962e-13,0.9999999999993179,0.0,6.323830348264892e-13,0.9999999999993676,0.0,5.770939282001564e-13,0.9999999999994229
"Ineligible User Flow, 45",0.0,5.655476087440547e-13,0.9999999999994345,0.0,5.977440764581843e-13,0.9999999999994023,0.0,6.94999613415348e-13,0.999999999999305,0.0,6.911138328291599e-13,0.9999999999993089,0.0,6.256106743762757e-13,0.9999999999993744
"Ineligible User Flow, 46",0.0,6.407097075111778e-13,0.9999999999993593,0.0,6.716849298982197e-13,0.9999999999993283,0.0,6.808997810026085e-13,0.9999999999993191,0.0,6.715739075957572e-13,0.9999999999993284,0.0,6.000755448098971e-13,0.9999999999993999
"Ineligible User Flow, 47",0.0,6.256106743762757e-13,0.9999999999993744,0.0,5.444533712761768e-13,0.9999999999994555,0.0,6.530331830845171e-13,0.999999999999347,0.0,5.81312775693732e-13,0.9999999999994187,0.0,6.493694471032541e-13,0.9999999999993506
