,"Monday, Express (Credit)","Monday, Express (Paying)","Monday, General Purpose","Tuesday, Express (Credit)","Tuesday, Express (Paying)","Tuesday, General Purpose","Wednesday, Express (Credit)","Wednesday, Express (Paying)","Wednesday, General Purpose","Thursday, Express (Credit)","Thursday, Express (Paying)","Thursday, General Purpose","Friday, Express (Credit)","Friday, Express (Paying)","Friday, General Purpose"
Edge flows,0.0,1634.8492127225672,6365.150787277416,0.0,1633.6822295665422,6366.317770433467,0.0,1631.989886105351,6368.0101139143535,0.0,1629.0000000277687,6370.999999972226,0.0,1631.1900657296387,6368.80993427039
Eps flows,0.0,342.07421272260433,2486.825787277425,0.0,340.90722956655827,2487.9927704334755,0.0,339.21488610535715,2489.6851139210435,0.0,336.2250000277988,2492.6749999722347,0.0,338.41506572962567,2490.484934270337
Eligible User Flows,0.0,1359.9999999999836,1.6481845358099492e-11,1359.9999999999836,0.0,1.642931678443544e-11,0.0,1359.9999999999836,1.6355948474017294e-11,1359.9999999999839,0.0,1.6221502579846705e-11,1359.9999999999836,0.0,1.6318343501142703e-11
"Ineligible User Flow, 1",0.0,1.699196339188802e-12,0.9999999999983008,0.0,1.98685512486918e-12,0.9999999999980131,0.0,2.112532371256748e-12,0.9999999999978875,0.0,1.8490764475131982e-12,0.9999999999981509,0.0,2.0881074647149944e-12,0.9999999999979119
"Ineligible User Flow, 2",0.0,1.9791945859992666e-12,0.9999999999980208,0.0,1.933675441989635e-12,0.9999999999980663,0.0,1.9860779687519425e-12,0.9999999999980139,0.0,2.0398127631438e-12,0.9999999999979602,0.0,1.677658012511074e-12,0.9999999999983223
"Ineligible User Flow, 3",0.0,1.919686631879358e-12,0.9999999999980803,0.0,1.7076340341759533e-12,0.9999999999982924,0.0,1.6791013024430868e-12,0.9999999999983209,0.0,1.829203455372408e-12,0.9999999999981708,0.0,2.0484725027358763e-12,0.9999999999979515
"Ineligible User Flow, 4",0.0,1.7778001293322632e-12,0.9999999999982222,0.0,2.178035529709632e-12,0.999999999997822,0.0,2.170263968537256e-12,0.9999999999978297,0.0,2.1944668304740844e-12,0.9999999999978055,0.0,1.951327988081175e-12,0.9999999999980487
"Ineligible User Flow, 5",0.0,1.7756907055854754e-12,0.9999999999982243,0.0,1.6978640715592519e-12,0.9999999999983021,0.0,2.043698543729988e-12,0.9999999999979563,0.0,1.6704415628510105e-12,0.9999999999983296,0.0,2.0653478927101787e-12,0.9999999999979347
"Ineligible User Flow, 6",0.0,1.9947377083440188e-12,0.9999999999980053,0.0,1.7358336990014323e-12,0.9999999999982642,0.0,1.8889334540972413e-12,0.9999999999981111,0.0,1.7880141811588146e-12,0.999999999998212,0.0,1.9613199953028015e-12,0.9999999999980387
"Ineligible User Flow, 7",0.0,2.150279954094003e-12,0.9999999999978497,0.0,2.124189713015312e-12,0.9999999999978758,0.0,2.02082794942271e-12,0.9999999999979792,0.0,1.9266810369344967e-12,0.9999999999980733,0.0,1.7926771178622403e-12,0.9999999999982073
"Ineligible User Flow, 8",0.0,1.9845236565174673e-12,0.9999999999980155,0.0,1.9378942894832107e-12,0.9999999999980621,0.0,1.8353096820078463e-12,0.9999999999981647,0.0,2.134736831749251e-12,0.9999999999978653,0.0,1.6929790902509012e-12,0.999999999998307
"Ineligible User Flow, 9",0.0,1.698752249978952e-12,0.9999999999983012,0.0,1.8343104812856836e-12,0.9999999999981657,0.0,2.119859843219274e-12,0.9999999999978801,0.0,1.9595436384634013e-12,0.9999999999980405,0.0,1.8672841051170508e-12,0.9999999999981327
"Ineligible User Flow, 10",0.0,1.7209567104714552e-12,0.999999999998279,0.0,1.891042877844029e-12,0.999999999998109,0.0,1.866284904394888e-12,0.9999999999981337,0.0,1.9673151996357774e-12,0.9999999999980327,0.0,2.159494805198392e-12,0.9999999999978405
"Ineligible User Flow, 11",0.0,1.907363156306019e-12,0.9999999999980926,0.0,2.1014301410104963e-12,0.9999999999978986,0.0,1.6993073614912646e-12,0.9999999999983007,0.0,1.9242385462803213e-12,0.9999999999980758,0.0,2.010724919898621e-12,0.9999999999979893
"Ineligible User Flow, 12",0.0,2.0560220193033274e-12,0.999999999997944,0.0,2.1828094887155203e-12,0.9999999999978172,0.0,2.0463630789890885e-12,0.9999999999979536,0.0,1.938560423297986e-12,0.9999999999980614,0.0,1.9690915564751776e-12,0.9999999999980309
"Ineligible User Flow, 13",0.0,2.07334149848748e-12,0.9999999999979267,0.0,1.6729950758076484e-12,0.999999999998327,0.0,1.949995720451625e-12,0.99999999999805,0.0,1.9595436384634013e-12,0.9999999999980405,0.0,1.7692514120426495e-12,0.9999999999982307
"Ineligible User Flow, 14",0.0,1.6849854844736e-12,0.999999999998315,0.0,1.9528823003156504e-12,0.9999999999980471,0.0,2.024935774613823e-12,0.9999999999979751,0.0,2.0011770018868447e-12,0.9999999999979988,0.0,2.052913394834377e-12,0.9999999999979471
"Ineligible User Flow, 15",0.0,1.922018100231071e-12,0.999999999998078,0.0,1.942668248489099e-12,0.9999999999980573,0.0,1.7581491817963979e-12,0.9999999999982419,0.0,2.0338175588108243e-12,0.9999999999979662,0.0,1.818878381243394e-12,0.9999999999981811
"Ineligible User Flow, 16",0.0,1.965094753586527e-12,0.9999999999980349,0.0,1.6906476218991884e-12,0.9999999999983094,0.0,1.975197783110616e-12,0.9999999999980248,0.0,1.935784865736423e-12,0.9999999999980642,0.0,1.8198775819655566e-12,0.9999999999981801
"Ineligible User Flow, 17",0.0,1.787014980436652e-12,0.999999999998213,0.0,2.2033486146710857e-12,0.9999999999977967,0.0,1.8893775433070914e-12,0.9999999999981106,0.0,1.928679438378822e-12,0.9999999999980713,0.0,1.687761042035163e-12,0.9999999999983122
"Ineligible User Flow, 18",0.0,2.109756813695185e-12,0.9999999999978902,0.0,1.9875212586839552e-12,0.9999999999980125,0.0,1.6846524175662125e-12,0.9999999999983153,0.0,2.0147217227872716e-12,0.9999999999979853,0.0,1.9789725413943415e-12,0.999999999998021
"Ineligible User Flow, 19",0.0,1.7983392552878286e-12,0.9999999999982017,0.0,1.963318396747127e-12,0.9999999999980367,0.0,1.9001467066459554e-12,0.9999999999980999,0.0,1.9640955528643644e-12,0.9999999999980359,0.0,1.8945955915228296e-12,0.9999999999981054
"Ineligible User Flow, 20",0.0,1.7321699630201692e-12,0.9999999999982678,0.0,1.8084422848119175e-12,0.9999999999981916,0.0,1.8950396807326797e-12,0.999999999998105,0.0,2.1156409957256983e-12,0.9999999999978844,0.0,1.8099965970463927e-12,0.99999999999819
"Ineligible User Flow, 21",0.0,1.989186593220893e-12,0.9999999999980108,0.0,2.137290344705889e-12,0.9999999999978627,0.0,1.9509949211737876e-12,0.999999999998049,0.0,2.1604940059205546e-12,0.9999999999978395,0.0,1.8659518374875006e-12,0.999999999998134
"Ineligible User Flow, 22",0.0,1.9055867994666187e-12,0.9999999999980944,0.0,1.6915358003188885e-12,0.9999999999983085,0.0,2.014610700484809e-12,0.9999999999979854,0.0,2.018940570280847e-12,0.9999999999979811,0.0,1.9998447342572945e-12,0.9999999999980002
"Ineligible User Flow, 23",0.0,1.9242385462803213e-12,0.9999999999980758,0.0,2.0936585798381202e-12,0.9999999999979063,0.0,1.8101076193488552e-12,0.9999999999981899,0.0,2.1259660698547123e-12,0.999999999997874,0.0,2.0179413695586845e-12,0.9999999999979821
"Ineligible User Flow, 24",0.0,2.0071722062198205e-12,0.9999999999979928,0.0,1.8964829706646924e-12,0.9999999999981035,0.0,1.898370349806555e-12,0.9999999999981016,0.0,1.751709888253572e-12,0.9999999999982483,0.0,1.911026892287282e-12,0.999999999998089
"Ineligible User Flow, 25",0.0,2.052025216414677e-12,0.999999999997948,0.0,2.0967672043070706e-12,0.9999999999979032,0.0,1.926792059236959e-12,0.9999999999980732,0.0,1.8636203691357878e-12,0.9999999999981364,0.0,2.1813661987835076e-12,0.9999999999978186
"Ineligible User Flow, 26",0.0,2.0129453659478713e-12,0.999999999997987,0.0,1.8109957977685553e-12,0.999999999998189,0.0,1.9583223931363136e-12,0.9999999999980417,0.0,2.0685675394815917e-12,0.9999999999979314,0.0,1.9617640845126516e-12,0.9999999999980382
"Ineligible User Flow, 27",0.0,1.971756091734278e-12,0.9999999999980282,0.0,2.183586644832758e-12,0.9999999999978164,0.0,1.8217649611074194e-12,0.9999999999981782,0.0,1.7850165789923267e-12,0.999999999998215,0.0,1.9800827644189667e-12,0.9999999999980199
"Ineligible User Flow, 28",0.0,1.8056667272503546e-12,0.9999999999981943,0.0,2.174593838333294e-12,0.9999999999978254,0.0,1.7761347947953254e-12,0.9999999999982239,0.0,1.7603696278456482e-12,0.9999999999982396,0.0,2.0690116286914417e-12,0.999999999997931
"Ineligible User Flow, 29",0.0,1.7406076580073204e-12,0.9999999999982594,0.0,2.0868862193879067e-12,0.9999999999979131,0.0,2.0982104942390833e-12,0.9999999999979018,0.0,1.8950396807326797e-12,0.999999999998105,0.0,2.2006840794119853e-12,0.9999999999977993
"Ineligible User Flow, 30",0.0,2.1240786907128495e-12,0.9999999999978759,0.0,1.894262524615442e-12,0.9999999999981057,0.0,2.0186075033734596e-12,0.9999999999979814,0.0,1.780797731498751e-12,0.9999999999982192,0.0,1.7034151866823777e-12,0.9999999999982966
"Ineligible User Flow, 31",0.0,2.0967672043070706e-12,0.9999999999979032,0.0,1.6976420269543269e-12,0.9999999999983024,0.0,1.7845724897824766e-12,0.9999999999982154,0.0,1.819766559663094e-12,0.9999999999981802,0.0,2.00273131412132e-12,0.9999999999979973
"Ineligible User Flow, 32",0.0,1.6863177521031503e-12,0.9999999999983137,0.0,1.7084111902931909e-12,0.9999999999982916,0.0,1.734057342162032e-12,0.9999999999982659,0.0,1.873612376357414e-12,0.9999999999981264,0.0,1.8786083799682274e-12,0.9999999999981214
