,"Monday, Express (Credit)","Monday, Express (Paying)","Monday, General Purpose","Tuesday, Express (Credit)","Tuesday, Express (Paying)","Tuesday, General Purpose","Wednesday, Express (Credit)","Wednesday, Express (Paying)","Wednesday, General Purpose","Thursday, Express (Credit)","Thursday, Express (Paying)","Thursday, General Purpose","Friday, Express (Credit)","Friday, Express (Paying)","Friday, General Purpose"
Edge flows,0.0,1634.8492127307127,6365.150787269289,0.0,1633.6822295697912,6366.317770430205,0.0,1631.9904155707882,6368.009584362864,0.0,1629.000000007618,6370.999999992382,0.0,1631.190065723229,6368.809934276764
Eps flows,0.0,342.0742127307282,2486.8257872692952,0.0,340.90722956980795,2487.9927704302117,0.0,339.2154155915751,2489.6845843651818,0.0,336.2250000076365,2492.674999992389,0.0,338.415065723254,2490.4849342767598
Eligible User Flows,447.9103991422927,912.0896008576963,1.127122187922465e-11,449.87644046416466,910.1235595358241,1.12486210627786e-11,461.2502500573849,898.7497499481432,1.1210187021122668e-11,462.6527065047867,897.3472934952026,1.1106829965365657e-11,464.2818515856224,895.7181484143582,1.1172784812738688e-11
"Ineligible User Flow, 1",0.0,1.1634027075047015e-12,0.9999999999988366,0.0,1.3603562720732043e-12,0.9999999999986396,0.0,1.446398556481654e-12,0.9999999999985536,0.0,1.265987314980066e-12,0.999999999998734,0.0,1.429634188809814e-12,0.9999999999985704
"Ineligible User Flow, 2",0.0,1.3550272015550036e-12,0.999999999998645,0.0,1.3239409568654992e-12,0.9999999999986761,0.0,1.3598011605608917e-12,0.9999999999986402,0.0,1.3965495426759844e-12,0.9999999999986035,0.0,1.148636741277187e-12,0.9999999999988514
"Ineligible User Flow, 3",0.0,1.3143930388537228e-12,0.9999999999986856,0.0,1.1691758672327524e-12,0.9999999999988308,0.0,1.1496359419993496e-12,0.9999999999988504,0.0,1.252442594079639e-12,0.9999999999987476,0.0,1.4025447470089603e-12,0.9999999999985975
"Ineligible User Flow, 4",0.0,1.2171375018965591e-12,0.9999999999987829,0.0,1.4912515666765103e-12,0.9999999999985087,0.0,1.4859224961583095e-12,0.9999999999985141,0.0,1.5024648192252243e-12,0.9999999999984975,0.0,1.3359313655314509e-12,0.9999999999986641
"Ineligible User Flow, 5",0.0,1.215805234267009e-12,0.9999999999987842,0.0,1.1625145290850014e-12,0.9999999999988375,0.0,1.3993251002375473e-12,0.9999999999986007,0.0,1.1436407376663738e-12,0.9999999999988564,0.0,1.4140910664650619e-12,0.9999999999985859
"Ineligible User Flow, 6",0.0,1.365685342591405e-12,0.9999999999986343,0.0,1.18849374786123e-12,0.9999999999988115,0.0,1.2932988013858449e-12,0.9999999999987067,0.0,1.2242429292541601e-12,0.9999999999987758,0.0,1.3428147482841268e-12,0.9999999999986572
"Ineligible User Flow, 7",0.0,1.47226675295542e-12,0.9999999999985277,0.0,1.454392162258955e-12,0.9999999999985456,0.0,1.38355993328787e-12,0.9999999999986164,0.0,1.319166997859611e-12,0.9999999999986808,0.0,1.2273515537231106e-12,0.9999999999987726
