,"Monday, Express (Credit)","Monday, Express (Paying)","Monday, General Purpose","Tuesday, Express (Credit)","Tuesday, Express (Paying)","Tuesday, General Purpose","Wednesday, Express (Credit)","Wednesday, Express (Paying)","Wednesday, General Purpose","Thursday, Express (Credit)","Thursday, Express (Paying)","Thursday, General Purpose","Friday, Express (Credit)","Friday, Express (Paying)","Friday, General Purpose"
Edge flows,0.0,1552.000472568201,6447.999526978656,0.0,1551.3821197820598,6448.6178802179165,0.0,1551.00000047102,6448.999999528965,0.0,1545.1472047017542,6454.852795298419,0.0,1551.7463622600953,6448.253637739894
Eps flows,0.0,259.22547252649736,2569.6745269740145,0.0,258.6071197823218,2570.2928802180722,0.0,258.2250004714412,2570.6749995291307,0.0,252.37220470214518,2576.5277952985816,0.0,258.97136226075054,2569.9286377400604
Eligible User Flows,278.7180810578378,1081.2819189304394,1.2125833332575061e-08,256.9597273853446,1103.0402726043253,1.032983882743743e-08,196.64442241892053,1163.355577575062,6.017411800149014e-09,207.71125150833495,1152.288748485662,6.011375193836605e-09,182.44012586434357,1177.5598741306003,5.060023887170978e-09
"Ineligible User Flow, 1",0.0,6.860734202973617e-12,0.9999999999931393,0.0,8.020362152194593e-12,0.9999999999919796,0.0,8.542166973768417e-12,0.9999999999914578,0.0,7.481459896041542e-12,0.9999999999925185,0.0,8.454126287915642e-12,0.9999999999915459
"Ineligible User Flow, 2",0.0,7.988054662178001e-12,0.999999999992012,0.0,7.806533197651788e-12,0.9999999999921935,0.0,8.031353360138382e-12,0.9999999999919686,0.0,8.252731831248639e-12,0.9999999999917473,0.0,6.7912342416320826e-12,0.9999999999932088
"Ineligible User Flow, 3",0.0,7.74880160037128e-12,0.9999999999922512,0.0,6.895817250551772e-12,0.9999999999931042,0.0,6.7905681078173075e-12,0.9999999999932094,0.0,7.401190771361144e-12,0.9999999999925988,0.0,8.293921105462232e-12,0.9999999999917061
"Ineligible User Flow, 4",0.0,7.1774808318991745e-12,0.9999999999928225,0.0,8.789080574445052e-12,0.9999999999912109,0.0,8.774980742032312e-12,0.999999999991225,0.0,8.877343304902752e-12,0.9999999999911227,0.0,7.900347043232614e-12,0.9999999999920997
"Ineligible User Flow, 5",0.0,7.169154159214486e-12,0.9999999999928308,0.0,6.856404333177579e-12,0.9999999999931436,0.0,8.264389173007203e-12,0.9999999999917356,0.0,6.75803857319579e-12,0.999999999993242,0.0,8.362088799174217e-12,0.9999999999916379
"Ineligible User Flow, 6",0.0,8.05067124076686e-12,0.9999999999919493,0.0,7.009615110575851e-12,0.9999999999929904,0.0,7.639222587840777e-12,0.9999999999923608,0.0,7.234435273062445e-12,0.9999999999927656,0.0,7.94075916132897e-12,0.9999999999920592
"Ineligible User Flow, 7",0.0,8.675726803630823e-12,0.9999999999913243,0.0,8.572698106945609e-12,0.9999999999914273,0.0,8.171685550451002e-12,0.9999999999918283,0.0,7.795430967405537e-12,0.9999999999922046,0.0,7.257860978882036e-12,0.9999999999927421
"Ineligible User Flow, 8",0.0,8.009815033460654e-12,0.9999999999919902,0.0,7.823630632231016e-12,0.9999999999921764,0.0,7.422507053433947e-12,0.9999999999925775,0.0,8.636202863954168e-12,0.9999999999913638,0.0,6.853628775616016e-12,0.9999999999931464
"Ineligible User Flow, 9",0.0,6.85906886843668e-12,0.9999999999931409,0.0,7.406186774971957e-12,0.9999999999925938,0.0,8.571587883920984e-12,0.9999999999914284,0.0,7.928324663453168e-12,0.9999999999920717,0.0,7.560174708487466e-12,0.9999999999924398
"Ineligible User Flow, 10",0.0,6.948441821919005e-12,0.9999999999930516,0.0,7.634670673439814e-12,0.9999999999923653,0.0,7.547407143704277e-12,0.9999999999924526,0.0,7.959521930445135e-12,0.9999999999920405,0.0,8.743006318923108e-12,0.999999999991257
"Ineligible User Flow, 11",0.0,7.699174631170536e-12,0.9999999999923008,0.0,8.481326752018958e-12,0.9999999999915187,0.0,6.872280522429719e-12,0.9999999999931277,0.0,7.78543896018391e-12,0.9999999999922146,0.0,8.140932372668885e-12,0.9999999999918591
"Ineligible User Flow, 12",0.0,8.297140752233645e-12,0.9999999999917029,0.0,8.807843343561217e-12,0.9999999999911922,0.0,8.275158336346067e-12,0.9999999999917248,0.0,7.843503624371806e-12,0.9999999999921565,0.0,7.972511539833249e-12,0.9999999999920275
"Ineligible User Flow, 13",0.0,8.36664071357518e-12,0.9999999999916334,0.0,6.756040171751465e-12,0.999999999993244,0.0,7.885803121610024e-12,0.9999999999921142,0.0,7.928102618848243e-12,0.9999999999920719,0.0,7.1626038433691974e-12,0.9999999999928374
"Ineligible User Flow, 14",0.0,6.803446694902959e-12,0.9999999999931966,0.0,7.883582675560774e-12,0.9999999999921164,0.0,8.18833889582038e-12,0.9999999999918117,0.0,8.096523451683879e-12,0.9999999999919035,0.0,8.311795696158697e-12,0.9999999999916882
"Ineligible User Flow, 15",0.0,7.758238496080594e-12,0.9999999999922418,0.0,7.842615445952106e-12,0.9999999999921574,0.0,7.110423361211815e-12,0.9999999999928896,0.0,8.22852896931181e-12,0.9999999999917715,0.0,7.363998300036201e-12,0.999999999992636
"Ineligible User Flow, 16",0.0,7.931655332527043e-12,0.9999999999920683,0.0,6.827205467629938e-12,0.9999999999931728,0.0,7.987721595270614e-12,0.9999999999920123,0.0,7.832068327218167e-12,0.9999999999921679,0.0,7.368217147529776e-12,0.9999999999926318
"Ineligible User Flow, 17",0.0,7.214673303224117e-12,0.9999999999927853,0.0,8.890332914290866e-12,0.9999999999911097,0.0,7.640887922377715e-12,0.9999999999923591,0.0,7.803424573182838e-12,0.9999999999921966,0.0,6.832534538148138e-12,0.9999999999931675
"Ineligible User Flow, 18",0.0,8.51274606361585e-12,0.9999999999914873,0.0,8.023359754361081e-12,0.9999999999919766,0.0,6.813216657519661e-12,0.9999999999931868,0.0,8.151035402192974e-12,0.999999999991849,0.0,8.01270161332468e-12,0.9999999999919873
"Ineligible User Flow, 19",0.0,7.260414491838674e-12,0.9999999999927396,0.0,7.925660128194068e-12,0.9999999999920743,0.0,7.684519687245484e-12,0.9999999999923155,0.0,7.94653232105702e-12,0.9999999999920535,0.0,7.670752921740132e-12,0.9999999999923292
"Ineligible User Flow, 20",0.0,6.993516876718786e-12,0.9999999999930065,0.0,7.30215887756458e-12,0.9999999999926978,0.0,7.663758516684993e-12,0.9999999999923362,0.0,8.558820319137794e-12,0.9999999999914412,0.0,7.32780502943342e-12,0.9999999999926722
"Ineligible User Flow, 21",0.0,8.028244735669432e-12,0.9999999999919718,0.0,8.625211656010379e-12,0.9999999999913748,0.0,7.889688902196212e-12,0.9999999999921103,0.0,8.739897694454157e-12,0.9999999999912601,0.0,7.554734615666803e-12,0.9999999999924453
"Ineligible User Flow, 22",0.0,7.691958181510472e-12,0.999999999992308,0.0,6.830536136703813e-12,0.9999999999931695,0.0,8.146927577001861e-12,0.9999999999918531,0.0,8.168243859074664e-12,0.9999999999918318,0.0,8.096745496288804e-12,0.9999999999919033
"Ineligible User Flow, 23",0.0,7.76734232488252e-12,0.9999999999922327,0.0,8.449796418119604e-12,0.9999999999915502,0.0,7.320588579773357e-12,0.9999999999926794,0.0,8.600675727166163e-12,0.9999999999913993,0.0,8.170353282821452e-12,0.9999999999918296
"Ineligible User Flow, 24",0.0,8.100853321479917e-12,0.9999999999918991,0.0,7.656764111629855e-12,0.9999999999923432,0.0,7.677414259887883e-12,0.9999999999923226,0.0,7.087330722299612e-12,0.9999999999929127,0.0,7.737144258612716e-12,0.9999999999922629
"Ineligible User Flow, 25",0.0,8.281153540679043e-12,0.9999999999917188,0.0,8.462675005205256e-12,0.9999999999915373,0.0,7.792322342936586e-12,0.9999999999922077,0.0,7.540301716346676e-12,0.9999999999924597,0.0,8.831269049380808e-12,0.9999999999911687
"Ineligible User Flow, 26",0.0,8.123723915787195e-12,0.9999999999918763,0.0,7.312483951693594e-12,0.9999999999926875,0.0,7.919331856953704e-12,0.9999999999920807,0.0,8.368639115019505e-12,0.9999999999916314,0.0,7.94297960737822e-12,0.999999999992057
"Ineligible User Flow, 27",0.0,7.958189662815585e-12,0.9999999999920418,0.0,8.81106299033263e-12,0.9999999999911889,0.0,7.367662036017464e-12,0.9999999999926323,0.0,7.222000775186643e-12,0.999999999992778,0.0,8.017031483120718e-12,0.999999999991983
"Ineligible User Flow, 28",0.0,7.289724379688778e-12,0.9999999999927103,0.0,8.775091764334775e-12,0.9999999999912249,0.0,7.183253991627225e-12,0.9999999999928167,0.0,7.122524792180229e-12,0.9999999999928775,0.0,8.377076810006656e-12,0.9999999999916229
"Ineligible User Flow, 29",0.0,7.027600723574778e-12,0.9999999999929724,0.0,8.422595954016288e-12,0.9999999999915774,0.0,8.484324354185446e-12,0.9999999999915157,0.0,7.667533274968719e-12,0.9999999999923325,0.0,8.909428750314419e-12,0.9999999999910906
