,"Monday, Express (Credit)","Monday, Express (Paying)","Monday, General Purpose","Tuesday, Express (Credit)","Tuesday, Express (Paying)","Tuesday, General Purpose","Wednesday, Express (Credit)","Wednesday, Express (Paying)","Wednesday, General Purpose","Thursday, Express (Credit)","Thursday, Express (Paying)","Thursday, General Purpose","Friday, Express (Credit)","Friday, Express (Paying)","Friday, General Purpose"
Edge flows,0.0,1552.001284177597,6447.99871582197,0.0,1551.3821204174074,6448.617879582525,0.0,1551.0000017038765,6448.999998296174,0.0,1545.1472055468876,6454.852794453425,0.0,1551.7463617694102,6448.253638230581
Eps flows,0.0,259.22628417801286,2569.673715822201,0.0,258.6071204181696,2570.2928795827365,0.0,258.2250017045643,2570.6749982963806,0.0,252.37220554761012,2576.5277944536333,0.0,258.97136177012084,2569.9286382307896
Eligible User Flows,486.81629344086355,873.1837065587047,4.283742240161691e-10,486.05759178932533,873.9424082100285,6.478359575415546e-10,483.6711375006467,876.328862498945,4.0905855902762275e-10,491.5087617112027,868.4912382877169,1.0812625247147613e-09,496.8734784717494,863.1265215269763,1.274470912691791e-09
"Ineligible User Flow, 1",0.0,2.7128188584413238e-11,0.9999999999728718,0.0,3.168287854293794e-11,0.9999999999683171,0.0,3.3659297571375646e-11,0.9999999999663407,0.0,2.950351074559876e-11,0.9999999999704965,0.0,3.325617559113425e-11,0.9999999999667438
"Ineligible User Flow, 2",0.0,3.1570523972845876e-11,0.9999999999684295,0.0,3.0840996423364686e-11,0.999999999969159,0.0,3.165678830185925e-11,0.9999999999683432,0.0,3.2527647242375224e-11,0.9999999999674724,0.0,2.675848431721306e-11,0.9999999999732415
"Ineligible User Flow, 3",0.0,3.0627278491124343e-11,0.9999999999693727,0.0,2.725586423224513e-11,0.9999999999727441,0.0,2.6792568164069053e-11,0.9999999999732074,0.0,2.918887354041999e-11,0.9999999999708111,0.0,3.263023184985059e-11,0.9999999999673698
"Ineligible User Flow, 4",0.0,2.8375635174882063e-11,0.9999999999716244,0.0,3.471167797641783e-11,0.9999999999652883,0.0,3.457245600912984e-11,0.9999999999654275,0.0,3.497724332390817e-11,0.9999999999650228,0.0,3.109235091613982e-11,0.9999999999689076
"Ineligible User Flow, 5",0.0,2.834321666256301e-11,0.9999999999716568,0.0,2.7100766075704996e-11,0.9999999999728992,0.0,3.257027980652083e-11,0.9999999999674297,0.0,2.6667668073798723e-11,0.9999999999733323,0.0,3.2896685375760626e-11,0.9999999999671033
"Ineligible User Flow, 6",0.0,3.1817104506615124e-11,0.9999999999681829,0.0,2.770328411116907e-11,0.9999999999722967,0.0,3.011912941275341e-11,0.9999999999698809,0.0,2.85351742235207e-11,0.9999999999714648,0.0,3.1250446674846444e-11,0.9999999999687496
"Ineligible User Flow, 7",0.0,3.428268779970267e-11,0.9999999999657173,0.0,3.385902669350571e-11,0.999999999966141,0.0,3.2206903810561016e-11,0.9999999999677931,0.0,3.073441501300067e-11,0.9999999999692656,0.0,2.8582136657462343e-11,0.9999999999714179
"Ineligible User Flow, 8",0.0,3.1656122168044476e-11,0.9999999999683439,0.0,3.090827593865697e-11,0.9999999999690917,0.0,2.926958675431024e-11,0.9999999999707304,0.0,3.4031666373834923e-11,0.9999999999659683,0.0,2.700251133802567e-11,0.9999999999729975
"Ineligible User Flow, 9",0.0,2.7121416223963024e-11,0.9999999999728786,0.0,2.9264590750699426e-11,0.9999999999707354,0.0,3.3774871788239125e-11,0.9999999999662251,0.0,3.125566472306218e-11,0.9999999999687443,0.0,2.9763191911058584e-11,0.9999999999702368
"Ineligible User Flow, 10",0.0,2.7473689989676586e-11,0.9999999999725263,0.0,3.016420446755319e-11,0.9999999999698358,0.0,2.975941715277486e-11,0.9999999999702406,0.0,3.137812232267834e-11,0.9999999999686219,0.0,3.438471729566572e-11,0.9999999999656153
"Ineligible User Flow, 11",0.0,3.043154617188293e-11,0.9999999999695685,0.0,3.3499092388922236e-11,0.9999999999665009,0.0,2.7112978528975873e-11,0.999999999972887,0.0,3.069555720713879e-11,0.9999999999693044,0.0,3.203237675108994e-11,0.9999999999679676
"Ineligible User Flow, 12",0.0,3.278910476467445e-11,0.9999999999672109,0.0,3.478584087446279e-11,0.9999999999652142,0.0,3.2612357259154123e-11,0.9999999999673876,0.0,3.092293088258202e-11,0.9999999999690771,0.0,3.137434756439461e-11,0.9999999999686257
"Ineligible User Flow, 13",0.0,3.3063440874059324e-11,0.9999999999669366,0.0,2.6705415656635978e-11,0.9999999999732946,0.0,3.108580060029453e-11,0.9999999999689142,0.0,3.1254887566944944e-11,0.9999999999687451,0.0,2.8209878877305528e-11,0.9999999999717901
"Ineligible User Flow, 14",0.0,2.6902480243506943e-11,0.9999999999730975,0.0,3.114430935369228e-11,0.9999999999688557,0.0,3.227185185750159e-11,0.9999999999677281,0.0,3.1915137199689525e-11,0.9999999999680849,0.0,3.2700286922704436e-11,0.9999999999672997
"Ineligible User Flow, 15",0.0,3.066458198475175e-11,0.9999999999693354,0.0,3.0983104970516706e-11,0.9999999999690169,0.0,2.8046343025778242e-11,0.9999999999719537,0.0,3.2432834196072235e-11,0.9999999999675672,0.0,2.899680495715984e-11,0.9999999999710032
"Ineligible User Flow, 16",0.0,3.134792425640853e-11,0.9999999999686521,0.0,2.6985413903446442e-11,0.9999999999730146,0.0,3.148559191146205e-11,0.9999999999685144,0.0,3.0878410939294554e-11,0.9999999999691216,0.0,2.901323625792429e-11,0.9999999999709868
"Ineligible User Flow, 17",0.0,2.852240665873751e-11,0.9999999999714776,0.0,3.511113622067796e-11,0.9999999999648889,0.0,3.01256797285987e-11,0.9999999999698743,0.0,3.076605636920249e-11,0.9999999999692339,0.0,2.6919910744993558e-11,0.9999999999730801
"Ineligible User Flow, 18",0.0,3.363975764614224e-11,0.9999999999663602,0.0,3.169464690699897e-11,0.9999999999683054,0.0,2.6881274983736603e-11,0.9999999999731187,0.0,3.212907717653479e-11,0.9999999999678709,0.0,3.153144412237907e-11,0.9999999999684686
"Ineligible User Flow, 19",0.0,2.870248483333171e-11,0.9999999999712975,0.0,3.130995462896635e-11,0.99999999996869,0.0,3.02968761189959e-11,0.9999999999697031,0.0,3.132716308584804e-11,0.9999999999686728,0.0,3.019562377915008e-11,0.9999999999698044
"Ineligible User Flow, 20",0.0,2.7651103629011686e-11,0.9999999999723489,0.0,2.885480743231028e-11,0.9999999999711452,0.0,3.0215607793593335e-11,0.9999999999697844,0.0,3.372824242120487e-11,0.9999999999662718,0.0,2.885525152152013e-11,0.9999999999711447
"Ineligible User Flow, 21",0.0,3.1728952798459886e-11,0.999999999968271,0.0,3.4066083287598303e-11,0.9999999999659339,0.0,3.110123270033682e-11,0.9999999999688988,0.0,3.443834106775512e-11,0.9999999999655617,0.0,2.9742097673590706e-11,0.9999999999702579
"Ineligible User Flow, 22",0.0,3.040323548475499e-11,0.9999999999695968,0.0,2.6998847602044407e-11,0.9999999999730012,0.0,3.210964827360385e-11,0.9999999999678904,0.0,3.219646771412954e-11,0.9999999999678035,0.0,3.185984809306319e-11,0.9999999999681402
"Ineligible User Flow, 23",0.0,3.0700220143842216e-11,0.9999999999692998,0.0,3.3374525365559293e-11,0.9999999999666255,0.0,2.8870350554655033e-11,0.9999999999711296,0.0,3.389211133963954e-11,0.9999999999661079,0.0,3.214761790104603e-11,0.9999999999678524
"Ineligible User Flow, 24",0.0,3.2015279316510714e-11,0.9999999999679847,0.0,3.025102390807888e-11,0.999999999969749,0.0,3.026889849877534e-11,0.9999999999697311,0.0,2.7958524384530392e-11,0.9999999999720415,0.0,3.0454749833097594e-11,0.9999999999695453
"Ineligible User Flow, 25",0.0,3.2726266141480664e-11,0.9999999999672737,0.0,3.342526255778466e-11,0.9999999999665747,0.0,3.071931597986577e-11,0.9999999999692807,0.0,2.973432611241833e-11,0.9999999999702657,0.0,3.4729441544811834e-11,0.9999999999652706
"Ineligible User Flow, 26",0.0,3.210554044841274e-11,0.9999999999678945,0.0,2.8895552617314024e-11,0.9999999999711044,0.0,3.121725100641015e-11,0.9999999999687827,0.0,3.298217254865676e-11,0.9999999999670178,0.0,3.125910641443852e-11,0.9999999999687409
