,"Monday, Express (Credit)","Monday, Express (Paying)","Monday, General Purpose","Tuesday, Express (Credit)","Tuesday, Express (Paying)","Tuesday, General Purpose","Wednesday, Express (Credit)","Wednesday, Express (Paying)","Wednesday, General Purpose","Thursday, Express (Credit)","Thursday, Express (Paying)","Thursday, General Purpose","Friday, Express (Credit)","Friday, Express (Paying)","Friday, General Purpose"
Edge flows,0.0,1634.8492127384397,6365.1507872615675,0.0,1633.6822295710572,6366.317770428937,0.0,1631.9905412395638,6368.009458749077,0.0,1629.0000000194996,6370.999999980228,0.0,1631.1900657263832,6368.8099342736095
Eps flows,0.0,342.0742127384539,2486.8257872615704,0.0,340.90722957107164,2487.9927704289435,0.0,339.2155412483546,2489.6844587479313,0.0,336.225000019572,2492.6749999802364,0.0,338.4150657264158,2490.4849342736156
Eligible User Flows,1156.5950249565635,203.40497504342716,9.153656522984638e-12,334.6170573837904,1025.3829426162006,9.124407769601844e-12,293.2818788898546,1066.7181211100963,9.086869587416715e-12,91.84658608301399,1268.1534139169648,9.008675679390056e-12,91.02589270441617,1268.9741072955721,9.06265467137304e-12
"Ineligible User Flow, 1",0.0,9.43689570931383e-13,0.9999999999990563,0.0,1.1033396418724806e-12,0.9999999999988967,0.0,1.173172670121403e-12,0.9999999999988268,0.0,1.0268452754758073e-12,0.9999999999989732,0.0,1.159627949220976e-12,0.9999999999988404
"Ineligible User Flow, 2",0.0,1.099120794378905e-12,0.9999999999989009,0.0,1.073918731719914e-12,0.9999999999989261,0.0,1.1028955526626305e-12,0.9999999999988971,0.0,1.1328715743275097e-12,0.9999999999988671,0.0,9.316991622654314e-13,0.9999999999990683
"Ineligible User Flow, 3",0.0,1.0661471705475378e-12,0.9999999999989339,0.0,9.483525076348087e-13,0.9999999999990516,0.0,9.32476318382669e-13,0.9999999999990675,0.0,1.0158540675320182e-12,0.9999999999989841,0.0,1.137645533333398e-12,0.9999999999988624
"Ineligible User Flow, 4",0.0,9.873213357991517e-13,0.9999999999990127,0.0,1.209587985329108e-12,0.9999999999987904,0.0,1.20525811553307e-12,0.9999999999987947,0.0,1.2186918141310343e-12,0.9999999999987813,0.0,1.0836886943366153e-12,0.9999999999989163
"Ineligible User Flow, 5",0.0,9.862111127745266e-13,0.9999999999990138,0.0,9.429124148141454e-13,0.9999999999990571,0.0,1.1349809980742975e-12,0.999999999998865,0.0,9.277023593767808e-13,0.9999999999990723,0.0,1.1469714067402492e-12,0.999999999998853
"Ineligible User Flow, 6",0.0,1.1077805339709812e-12,0.9999999999988922,0.0,9.640066522820234e-13,0.999999999999036,0.0,1.0490497359683104e-12,0.999999999998951,0.0,9.9298347322474e-13,0.999999999999007,0.0,1.089239809459741e-12,0.9999999999989108
"Ineligible User Flow, 7",0.0,1.1941558852868184e-12,0.9999999999988058,0.0,1.1797229859666913e-12,0.9999999999988203,0.0,1.1222134332911082e-12,0.9999999999988778,0.0,1.0700329511337259e-12,0.99999999999893,0.0,9.955369861813779e-13,0.9999999999990045
