,"Monday, Express (Credit)","Monday, Express (Paying)","Monday, General Purpose","Tuesday, Express (Credit)","Tuesday, Express (Paying)","Tuesday, General Purpose","Wednesday, Express (Credit)","Wednesday, Express (Paying)","Wednesday, General Purpose","Thursday, Express (Credit)","Thursday, Express (Paying)","Thursday, General Purpose","Friday, Express (Credit)","Friday, Express (Paying)","Friday, General Purpose"
Edge flows,0.0,1634.8492127530535,6365.150787246948,0.0,1633.682229575581,6366.317770424421,0.0,1631.990560239712,6368.009439734618,0.0,1629.0000000013151,6370.999999998681,0.0,1631.1900656762682,6368.809934323734
Eps flows,0.0,342.07421275305563,2486.8257872469476,0.0,340.9072295755859,2487.992770424423,0.0,339.2155602422899,2489.6844397354043,0.0,336.2250000013184,2492.674999998682,0.0,338.41506567627204,2490.484934323732
Eligible User Flows,181.29349437780843,1178.7065056221893,1.756766104217839e-12,191.14077518179906,1168.8592248181994,1.7511632384781865e-12,226.1753577500388,1133.8246422402754,1.743254396367181e-12,210.50165619179913,1149.498343808199,1.7290618234637258e-12,226.867668147741,1133.1323318522593,1.7393307258858838e-12
"Ineligible User Flow, 1",0.0,1.8107737531636303e-13,0.9999999999998189,0.0,2.1171953079601735e-13,0.9999999999997883,0.0,2.2515322939398175e-13,0.9999999999997748,0.0,1.9706458687096529e-13,0.9999999999998029,0.0,2.2259971643734389e-13,0.9999999999997774
"Ineligible User Flow, 2",0.0,2.1094237467877974e-13,0.9999999999997891,0.0,2.0605739337042905e-13,0.9999999999997939,0.0,2.1171953079601735e-13,0.9999999999997883,0.0,2.1738166822160565e-13,0.9999999999997826,0.0,1.7885692926711272e-13,0.9999999999998211
"Ineligible User Flow, 3",0.0,2.0461410343841635e-13,0.9999999999997954,0.0,1.8196555373606316e-13,0.999999999999818,0.0,1.7896795156957523e-13,0.999999999999821,0.0,1.949551631241775e-13,0.999999999999805,0.0,2.183808689437683e-13,0.9999999999997816
"Ineligible User Flow, 4",0.0,1.8951507030351422e-13,0.9999999999998105,0.0,2.3214763444912023e-13,0.9999999999997679,0.0,2.313704783318826e-13,0.9999999999997686,0.0,2.339239912885205e-13,0.9999999999997661,0.0,2.0794477251229182e-13,0.999999999999792
"Ineligible User Flow, 5",0.0,1.892930256985892e-13,0.9999999999998107,0.0,1.8096635301390052e-13,0.999999999999819,0.0,2.1782575743145571e-13,0.9999999999997822,0.0,1.780797731498751e-13,0.9999999999998219,0.0,2.2015722578316854e-13,0.9999999999997798
"Ineligible User Flow, 6",0.0,2.1260770921571748e-13,0.9999999999997874,0.0,1.850741782050136e-13,0.9999999999998149,0.0,2.013944566670034e-13,0.9999999999997986,0.0,1.9062529332813938e-13,0.9999999999998094,0.0,2.0905499553691698e-13,0.999999999999791
"Ineligible User Flow, 7",0.0,2.291500322826323e-13,0.9999999999997708,0.0,2.2637447472106942e-13,0.9999999999997736,0.0,2.1538326677728037e-13,0.9999999999997846,0.0,2.0539125955565396e-13,0.9999999999997946,0.0,1.9106938253798944e-13,0.9999999999998089
