,"Monday, Express (Credit)","Monday, Express (Paying)","Monday, General Purpose","Tuesday, Express (Credit)","Tuesday, Express (Paying)","Tuesday, General Purpose","Wednesday, Express (Credit)","Wednesday, Express (Paying)","Wednesday, General Purpose","Thursday, Express (Credit)","Thursday, Express (Paying)","Thursday, General Purpose","Friday, Express (Credit)","Friday, Express (Paying)","Friday, General Purpose"
Edge flows,0.0,1767.1801605407145,6232.819839457294,0.0,1767.3516870848598,6232.64831291508,0.0,1768.548932773907,6231.451067225988,0.0,1768.733439089052,6231.2665609114665,0.0,1767.3392947438151,6232.66070525549
Eps flows,0.0,474.40516053908135,2354.4948394570324,0.0,474.57668708493816,2354.323312915262,0.0,475.77393277395134,2353.126067225996,0.0,475.95843908857313,2352.9415609116645,0.0,474.56429474400113,2354.3357052556844
Eligible User Flows,773.7583548761,586.2416451240634,9.441961663797251e-12,763.9596641907334,596.0403358092227,9.448591268528959e-12,766.0625353371507,593.9374646628397,9.497066064501701e-12,798.0624700303515,561.9375299697,9.504627822440591e-12,805.8725243213406,554.1274756785338,9.448001693199823e-12
"Ineligible User Flow, 1",0.0,1.52478030202019e-12,0.9999999999984752,0.0,1.798006188380441e-12,0.999999999998202,0.0,1.9161339182005577e-12,0.9999999999980839,0.0,1.6618928455613968e-12,0.9999999999983381,0.0,1.8939294577080545e-12,0.9999999999981061
"Ineligible User Flow, 2",0.0,1.7915668948376151e-12,0.9999999999982084,0.0,1.7470469515501463e-12,0.999999999998253,0.0,1.7944534747016405e-12,0.9999999999982055,0.0,1.8437473769949975e-12,0.9999999999981563,0.0,1.5025758415276869e-12,0.9999999999984974
"Ineligible User Flow, 3",0.0,1.734501431371882e-12,0.9999999999982655,0.0,1.5319967516802535e-12,0.999999999998468,0.0,1.5031309530399994e-12,0.9999999999984969,0.0,1.6431300764452317e-12,0.9999999999983569,0.0,1.855737785660949e-12,0.9999999999981443
"Ineligible User Flow, 4",0.0,1.5991652446700755e-12,0.9999999999984008,0.0,1.9828583219805296e-12,0.9999999999980171,0.0,1.9718671140367405e-12,0.9999999999980281,0.0,1.9927393068996935e-12,0.9999999999980073,0.0,1.7623680292899735e-12,0.9999999999982376
"Ineligible User Flow, 5",0.0,1.5972778655282127e-12,0.9999999999984027,0.0,1.5227819005758647e-12,0.9999999999984772,0.0,1.8497425813279733e-12,0.9999999999981503,0.0,1.4934720127257606e-12,0.9999999999985065,0.0,1.8719470418204764e-12,0.999999999998128
"Ineligible User Flow, 6",0.0,1.8065549056700547e-12,0.9999999999981934,0.0,1.5586421042712573e-12,0.9999999999984414,0.0,1.7016388298429774e-12,0.9999999999982984,0.0,1.6041612482808887e-12,0.9999999999983958,0.0,1.7719159473017498e-12,0.9999999999982281
"Ineligible User Flow, 7",0.0,1.9569901255067634e-12,0.999999999998043,0.0,1.9305668175206847e-12,0.9999999999980694,0.0,1.8277601654403952e-12,0.9999999999981722,0.0,1.7356116543965072e-12,0.9999999999982644,0.0,1.6112666756384897e-12,0.9999999999983887
"Ineligible User Flow, 8",0.0,1.7967849430533533e-12,0.9999999999982032,0.0,1.7510437544387969e-12,0.999999999998249,0.0,1.6506795930126827e-12,0.9999999999983493,0.0,1.9350077096191853e-12,0.999999999998065,0.0,1.5171197631502764e-12,0.9999999999984829
"Ineligible User Flow, 9",0.0,1.52433621281034e-12,0.9999999999984757,0.0,1.6521228829446954e-12,0.9999999999983479,0.0,1.923128323255696e-12,0.9999999999980769,0.0,1.7669199436909366e-12,0.9999999999982331,0.0,1.6822099269120372e-12,0.9999999999983178
"Ineligible User Flow, 10",0.0,1.5453194279757554e-12,0.9999999999984547,0.0,1.7061907442439406e-12,0.9999999999982938,0.0,1.6801005031652494e-12,0.9999999999983199,0.0,1.7743584379559252e-12,0.9999999999982256,0.0,1.9629853298397393e-12,0.999999999998037
"Ineligible User Flow, 11",0.0,1.7227330673108554e-12,0.9999999999982773,0.0,1.9085844016331066e-12,0.9999999999980914,0.0,1.5221157667610896e-12,0.9999999999984779,0.0,1.7332801860447944e-12,0.9999999999982667,0.0,1.819322470453244e-12,0.9999999999981807
"Ineligible User Flow, 12",0.0,1.865618770580113e-12,0.9999999999981344,0.0,1.9874102363814927e-12,0.9999999999980126,0.0,1.852296094284611e-12,0.9999999999981477,0.0,1.7469359292476838e-12,0.9999999999982531,0.0,1.779465463869201e-12,0.9999999999982205
"Ineligible User Flow, 13",0.0,1.882383138251953e-12,0.9999999999981176,0.0,1.499356194756274e-12,0.9999999999985006,0.0,1.7599255386357981e-12,0.9999999999982401,0.0,1.7669199436909366e-12,0.9999999999982331,0.0,1.5890622151459866e-12,0.9999999999984109
"Ineligible User Flow, 14",0.0,1.5113466034222256e-12,0.9999999999984887,0.0,1.7653656314564614e-12,0.9999999999982346,0.0,1.8316459460265833e-12,0.9999999999981684,0.0,1.8066659279725172e-12,0.9999999999981933,0.0,1.8599566331545248e-12,0.99999999999814
"Ineligible User Flow, 15",0.0,1.7367218774211324e-12,0.9999999999982633,0.0,1.75559566883976e-12,0.9999999999982444,0.0,1.5776269179923474e-12,0.9999999999984224,0.0,1.8379742172669467e-12,0.999999999998162,0.0,1.6361356713900932e-12,0.9999999999983639
"Ineligible User Flow, 16",0.0,1.7781331962396507e-12,0.9999999999982219,0.0,1.5158985178231887e-12,0.9999999999984841,0.0,1.784017378270164e-12,0.999999999998216,0.0,1.7442713939885834e-12,0.9999999999982557,0.0,1.6371348721122558e-12,0.9999999999983629
"Ineligible User Flow, 17",0.0,1.6079360065646142e-12,0.9999999999983921,0.0,2.0073942508247455e-12,0.9999999999979926,0.0,1.7020829190528275e-12,0.9999999999982979,0.0,1.73749903353837e-12,0.9999999999982625,0.0,1.5121237595394632e-12,0.9999999999984879
"Ineligible User Flow, 18",0.0,1.9175772081325704e-12,0.9999999999980824,0.0,1.7986723221952161e-12,0.9999999999982013,0.0,1.5083490012557377e-12,0.9999999999984917,0.0,1.8196555373606316e-12,0.9999999999981803,0.0,1.7889023595785147e-12,0.9999999999982111
"Ineligible User Flow, 19",0.0,1.6187051699034782e-12,0.9999999999983813,0.0,1.7753576386780878e-12,0.9999999999982246,0.0,1.7124079931818414e-12,0.9999999999982876,0.0,1.7712498134869747e-12,0.9999999999982288,0.0,1.7081891456882659e-12,0.9999999999982918
"Ineligible User Flow, 20",0.0,1.5558665467096944e-12,0.9999999999984441,0.0,1.627475931798017e-12,0.9999999999983725,0.0,1.7075230118734908e-12,0.9999999999982925,0.0,1.9165780074104077e-12,0.9999999999980834,0.0,1.627697976402942e-12,0.9999999999983723
"Ineligible User Flow, 21",0.0,1.801225835151854e-12,0.9999999999981988,0.0,1.9432233600014115e-12,0.9999999999980568,0.0,1.7608137170554983e-12,0.9999999999982392,0.0,1.9597656830683263e-12,0.9999999999980402,0.0,1.680877659282487e-12,0.9999999999983191
"Ineligible User Flow, 22",0.0,1.7209567104714552e-12,0.999999999998279,0.0,1.5167866962428889e-12,0.9999999999984832,0.0,1.821875983409882e-12,0.9999999999981781,0.0,1.8237633625517446e-12,0.9999999999981762,0.0,1.8088863740217676e-12,0.9999999999981911
"Ineligible User Flow, 23",0.0,1.7389423234703827e-12,0.9999999999982611,0.0,1.900923862763193e-12,0.9999999999980991,0.0,1.6268097979832419e-12,0.9999999999983732,0.0,1.9264589923295716e-12,0.9999999999980735,0.0,1.8263168755083825e-12,0.9999999999981737
"Ineligible User Flow, 24",0.0,1.8185453143360064e-12,0.9999999999981815,0.0,1.7114087924596788e-12,0.9999999999982886,0.0,1.7107426586449037e-12,0.9999999999982893,0.0,1.5698553568199713e-12,0.9999999999984301,0.0,1.7238432903354806e-12,0.9999999999982762
"Ineligible User Flow, 25",0.0,1.8618440122963875e-12,0.9999999999981382,0.0,1.9040324872321435e-12,0.999999999998096,0.0,1.7378321004457575e-12,0.9999999999982622,0.0,1.6756596110667488e-12,0.9999999999983243,0.0,1.9841905896100798e-12,0.9999999999980158
"Ineligible User Flow, 26",0.0,1.824096429459132e-12,0.9999999999981759,0.0,1.6299184224521923e-12,0.9999999999983701,0.0,1.7678081221106368e-12,0.9999999999982322,0.0,1.8712809080057013e-12,0.9999999999981287,0.0,1.7724710588140624e-12,0.9999999999982275
"Ineligible User Flow, 27",0.0,1.7844614674800141e-12,0.9999999999982155,0.0,1.9881873924987303e-12,0.9999999999980118,0.0,1.637801005927031e-12,0.9999999999983622,0.0,1.6012746684168633e-12,0.9999999999983987,0.0,1.7900125826031399e-12,0.99999999999821
"Ineligible User Flow, 28",0.0,1.6256995749586167e-12,0.9999999999983743,0.0,1.979527652906654e-12,0.9999999999980205,0.0,1.5946133302691123e-12,0.9999999999984054,0.0,1.5780710072021975e-12,0.9999999999984219,0.0,1.875499755499277e-12,0.9999999999981245
"Ineligible User Flow, 29",0.0,1.5638601524869955e-12,0.9999999999984361,0.0,1.8943735469179046e-12,0.9999999999981056,0.0,1.9022561303927432e-12,0.9999999999980977,0.0,1.7055246104291655e-12,0.9999999999982945,0.0,2.002953358726245e-12,0.999999999997997
"Ineligible User Flow, 30",0.0,1.9315660182428473e-12,0.9999999999980684,0.0,1.7091883464104285e-12,0.9999999999982908,0.0,1.8256507416936074e-12,0.9999999999981743,0.0,1.5972778655282127e-12,0.9999999999984027,0.0,1.5268897257669778e-12,0.9999999999984731
"Ineligible User Flow, 31",0.0,1.9051427102567686e-12,0.9999999999980949,0.0,1.5225598559709397e-12,0.9999999999984774,0.0,1.6026069360464135e-12,0.9999999999983974,0.0,1.634137269945768e-12,0.9999999999983659,0.0,1.8116619315833304e-12,0.9999999999981883
"Ineligible User Flow, 32",0.0,1.5125678487493133e-12,0.9999999999984874,0.0,1.5326628854950286e-12,0.9999999999984673,0.0,1.5548673459875317e-12,0.9999999999984451,0.0,1.6852075290785251e-12,0.9999999999983148,0.0,1.6928680679484387e-12,0.9999999999983071
"Ineligible User Flow, 33",0.0,1.908695423935569e-12,0.9999999999980913,0.0,1.7430501486614958e-12,0.999999999998257,0.0,1.956212969389526e-12,0.9999999999980438,0.0,1.7473800184575339e-12,0.9999999999982526,0.0,1.7329471191374068e-12,0.999999999998267
"Ineligible User Flow, 34",0.0,1.6375789613221059e-12,0.9999999999983624,0.0,1.79134485023269e-12,0.9999999999982087,0.0,1.8496315590255108e-12,0.9999999999981504,0.0,1.5719647805667591e-12,0.999999999998428,0.0,1.7438273047787334e-12,0.9999999999982562
