,"Monday, Express (Credit)","Monday, Express (Paying)","Monday, General Purpose","Tuesday, Express (Credit)","Tuesday, Express (Paying)","Tuesday, General Purpose","Wednesday, Express (Credit)","Wednesday, Express (Paying)","Wednesday, General Purpose","Thursday, Express (Credit)","Thursday, Express (Paying)","Thursday, General Purpose","Friday, Express (Credit)","Friday, Express (Paying)","Friday, General Purpose"
Edge flows,0.0,1634.8492127534482,6365.150787247272,0.0,1633.682229575541,6366.317770424426,0.0,1631.9905733533433,6368.009426570899,0.0,1629.000000001186,6370.9999999987685,0.0,1631.1900656765993,6368.8099343222
Eps flows,0.0,342.07421275335554,2486.8257872472163,0.0,340.9072295756346,2487.992770424432,0.0,339.2155733494851,2489.6844265662985,0.0,336.2250000012101,2492.6749999987182,0.0,338.4150656767808,2490.4849343223436
Eligible User Flows,287.3172102183747,1072.6827897820992,1.7105278143905782e-12,299.6401769630064,1060.3598230369157,1.7050738975122442e-12,279.0514559347247,1080.9485440082283,1.697301673221431e-12,333.67716461318383,1026.3228353868537,1.6835474228632077e-12,370.7564522551472,989.2435477433792,1.6935380982345056e-12
"Ineligible User Flow, 1",0.0,1.7630341631047486e-13,0.9999999999998237,0.0,2.0616841567289157e-13,0.9999999999997938,0.0,2.1926904736346842e-13,0.9999999999997807,0.0,1.9184653865522705e-13,0.9999999999998082,0.0,2.1671553440683056e-13,0.9999999999997833
"Ineligible User Flow, 2",0.0,2.0539125955565396e-13,0.9999999999997946,0.0,2.007283228522283e-13,0.9999999999997993,0.0,2.0616841567289157e-13,0.9999999999997938,0.0,2.1171953079601735e-13,0.9999999999997883,0.0,1.7408297026122455e-13,0.9999999999998259
"Ineligible User Flow, 3",0.0,1.9917401061775308e-13,0.9999999999998008,0.0,1.7719159473017498e-13,0.9999999999998228,0.0,1.7430501486614958e-13,0.9999999999998257,0.0,1.8984813721090177e-13,0.9999999999998102,0.0,2.1260770921571748e-13,0.9999999999997874
"Ineligible User Flow, 4",0.0,1.8451906669270102e-13,0.9999999999998155,0.0,2.2604140781368187e-13,0.999999999999774,0.0,2.2526425169644426e-13,0.9999999999997747,0.0,2.277067423506196e-13,0.9999999999997723,0.0,2.0250467969162855e-13,0.9999999999997975
"Ineligible User Flow, 5",0.0,1.8429702208777599e-13,0.9999999999998157,0.0,1.7619239400801234e-13,0.9999999999998238,0.0,2.120525977034049e-13,0.999999999999788,0.0,1.7330581414398694e-13,0.9999999999998267,0.0,2.1438406605511773e-13,0.9999999999997856
"Ineligible User Flow, 6",0.0,2.070565940925917e-13,0.9999999999997929,0.0,1.801891968966629e-13,0.9999999999998198,0.0,1.9606538614880265e-13,0.9999999999998039,0.0,1.8551826741486366e-13,0.9999999999998145,0.0,2.035038804137912e-13,0.9999999999997965
"Ineligible User Flow, 7",0.0,2.2315482794965646e-13,0.9999999999997768,0.0,2.204902926905561e-13,0.9999999999997795,0.0,2.0972112935169207e-13,0.9999999999997903,0.0,1.999511667349907e-13,0.9999999999998,0.0,1.8607337892717624e-13,0.9999999999998139
"Ineligible User Flow, 8",0.0,2.0594637106796654e-13,0.999999999999794,0.0,2.0117241206207837e-13,0.9999999999997988,0.0,1.9051427102567686e-13,0.9999999999998095,0.0,2.2160051571518125e-13,0.9999999999997784,0.0,1.7574830479816228e-13,0.9999999999998243
"Ineligible User Flow, 9",0.0,1.7630341631047486e-13,0.9999999999998237,0.0,1.9040324872321435e-13,0.9999999999998096,0.0,2.2004620348070603e-13,0.99999999999978,0.0,2.0339285811132868e-13,0.9999999999997966,0.0,1.9384494009955233e-13,0.9999999999998062
"Ineligible User Flow, 10",0.0,1.7863488466218769e-13,0.9999999999998214,0.0,1.9628743075372768e-13,0.9999999999998037,0.0,1.9373391779708982e-13,0.9999999999998063,0.0,2.041700142285663e-13,0.9999999999997958,0.0,2.241540286718191e-13,0.9999999999997758
"Ineligible User Flow, 11",0.0,1.979527652906654e-13,0.999999999999802,0.0,2.1804780203638074e-13,0.999999999999782,0.0,1.7630341631047486e-13,0.9999999999998237,0.0,1.9972912213006566e-13,0.9999999999998003,0.0,2.0872192862952943e-13,0.9999999999997913
"Ineligible User Flow, 12",0.0,2.1338486533295509e-13,0.9999999999997866,0.0,2.2648549702353193e-13,0.9999999999997735,0.0,2.1238566461079245e-13,0.9999999999997876,0.0,2.0117241206207837e-13,0.9999999999997988,0.0,2.0439205883349132e-13,0.9999999999997956
"Ineligible User Flow, 13",0.0,2.1516122217235534e-13,0.9999999999997848,0.0,1.7363888105137448e-13,0.9999999999998264,0.0,2.0239365738916604e-13,0.9999999999997976,0.0,2.0339285811132868e-13,0.9999999999997966,0.0,1.836308882730009e-13,0.9999999999998164
