,"Monday, Express (Credit)","Monday, Express (Paying)","Monday, General Purpose","Tuesday, Express (Credit)","Tuesday, Express (Paying)","Tuesday, General Purpose","Wednesday, Express (Credit)","Wednesday, Express (Paying)","Wednesday, General Purpose","Thursday, Express (Credit)","Thursday, Express (Paying)","Thursday, General Purpose","Friday, Express (Credit)","Friday, Express (Paying)","Friday, General Purpose"
Edge flows,0.0,1744.000000486405,6255.999999505315,0.0,1744.0000005419643,6255.999999491023,0.0,1744.0000005652892,6255.99999950709,0.0,1744.000000513508,6255.999999466487,0.0,1744.0000004848553,6255.999999485304
Eps flows,0.0,451.22500049665246,2377.674999498412,0.0,451.2250005107967,2377.6749994950196,0.0,451.2250005361377,2377.6749995074274,0.0,451.225000519873,2377.674999471147,0.0,451.2250004754204,2377.6749994907714
Eligible User Flows,262.1748336147366,1097.8251663872952,3.8025662531766243e-10,256.85936750680446,1103.1406324931759,3.851336954063131e-10,264.9649181025024,1095.0350819000748,4.3885043320312255e-10,232.28650811601125,1127.7134918824204,8.692216358010491e-10,189.91081495785485,1170.0891850395644,4.260156211593062e-09
"Ineligible User Flow, 1",0.0,1.4813372750666076e-11,0.9999999999851866,0.0,1.7408741115332305e-11,0.9999999999825913,0.0,1.8545276425641077e-11,0.9999999999814547,0.0,1.608546629228158e-11,0.9999999999839145,0.0,1.811062411150033e-11,0.9999999999818894
"Ineligible User Flow, 2",0.0,1.734812293818777e-11,0.9999999999826519,0.0,1.6925905121922824e-11,0.9999999999830741,0.0,1.7391976747660465e-11,0.999999999982608,0.0,1.7800982909932372e-11,0.999999999982199,0.0,1.4472534282106153e-11,0.9999999999855275
"Ineligible User Flow, 3",0.0,1.6807111258287932e-11,0.9999999999831929,0.0,1.488287271200761e-11,0.9999999999851171,0.0,1.46184175875419e-11,0.9999999999853816,0.0,1.5907719586039093e-11,0.9999999999840923,0.0,1.7757906256576916e-11,0.9999999999822421
"Ineligible User Flow, 4",0.0,1.552180606267939e-11,0.9999999999844782,0.0,1.91553439776726e-11,0.9999999999808447,0.0,1.9073409518455264e-11,0.9999999999809266,0.0,1.9200085965564995e-11,0.9999999999807999,0.0,1.689348660960377e-11,0.9999999999831065
"Ineligible User Flow, 5",0.0,1.550337636047061e-11,0.9999999999844966,0.0,1.47949430484573e-11,0.9999999999852051,0.0,1.7917223260610626e-11,0.9999999999820828,0.0,1.4488521493660755e-11,0.9999999999855115,0.0,1.7908008409506238e-11,0.999999999982092
"Ineligible User Flow, 6",0.0,1.748978739612994e-11,0.9999999999825102,0.0,1.5136669695436922e-11,0.9999999999848633,0.0,1.6511014777620403e-11,0.999999999983489,0.0,1.5538903497258616e-11,0.9999999999844611,0.0,1.698219342927132e-11,0.9999999999830178
"Ineligible User Flow, 7",0.0,1.891176104606984e-11,0.9999999999810882,0.0,1.8662071887831644e-11,0.9999999999813379,0.0,1.770816826507371e-11,0.9999999999822918,0.0,1.678224226253633e-11,0.9999999999832178,0.0,1.5488499371940634e-11,0.9999999999845115
"Ineligible User Flow, 8",0.0,1.7397305818178666e-11,0.9999999999826027,0.0,1.6964429860877317e-11,0.9999999999830356,0.0,1.6025958338161672e-11,0.999999999983974,0.0,1.8658963263362693e-11,0.999999999981341,0.0,1.4608203535715347e-11,0.9999999999853918
"Ineligible User Flow, 9",0.0,1.4809486970079888e-11,0.9999999999851905,0.0,1.602495913743951e-11,0.999999999983975,0.0,1.861200082942105e-11,0.999999999981388,0.0,1.7077783631691545e-11,0.9999999999829222,0.0,1.6148637982382752e-11,0.9999999999838514
"Ineligible User Flow, 10",0.0,1.5009327114512416e-11,0.9999999999849907,0.0,1.6538548308631107e-11,0.9999999999834615,0.0,1.6305512495762287e-11,0.9999999999836945,0.0,1.7147394615335543e-11,0.9999999999828526,0.0,1.874755906072778e-11,0.9999999999812524
